,Unnamed: 0,Rank,Data ID,DOI,Title,Description,Repository,Publication date,Publication year,Dataset author,Associated publication,Dimensions URL,Source linkout,Fields of Research (ANZSRC 2020),RCDC Categories,HRCS HC Categories,HRCS RAC Categories,Health Research Areas,Broad Research Areas,Cancer Types,CSO Categories,Sustainable Development Goals
9298,9298,100,dataset.10540114,10.17182/hepdata.74124.v1/t4,"""Table 4"" of ""Measurement of the differential cross sections for top quark pair production as a function of kinematic event variables in pp collisions at $\sqrt s$=7 and 8 TeV""",Normalized $t\bar{t}$ differential cross section measurements with respect to the $p^{W}_{T}$ variable at a center-of-mass energy of 7 TeV (combination of electron and muon channels).,HEPData,1/1/2016,2016,,pub.1020098522,https://app.dimensions.ai/details/data_set/dataset.10540114,https://www.hepdata.net/record/74129,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
11783,11783,100,dataset.10540225,10.17182/hepdata.59366.v1/t7,"""Table 7"" of ""Study of the Inclusive Production of Charged Pions, Kaons, and Protons in $pp$ Collisions at $\sqrt{s}=0.9$, 2.76, and 7 TeV""","Measured transverse momentum distributions of identified charged hadrons (PI+, K+ and P) and at a centre-of-mass energy of 900 GeV for multiplicity class 1 (Nrec=0-9).",HEPData,1/1/2012,2012,,pub.1001236113,https://app.dimensions.ai/details/data_set/dataset.10540225,https://www.hepdata.net/record/59412,49 Mathematical Sciences; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
8517,8517,100,dataset.10539672,10.17182/hepdata.77059.v1/t8,"""Table 8"" of ""Search for heavy Majorana neutrinos in e$^{±}$e$^{±}$+ jets and e$^{±}$ $\mu^{±}$+ jets events in proton-proton collisions at $ \sqrt{s}=8 $ TeV""","Observed event yields and estimated backgrounds after the application of all selection, except for the final optimization. The background predictions from prompt same-sign leptons (Prompt bkgd.), misidentified leptons (Misid. bkgd.), mismeasured charge (Charge mismeas. bkgd.) and the total background (Total bkgd.) are shown together withthe number of events observed in data. The uncertainties shown are the statistical and systematic components, respectively.",HEPData,1/1/2017,2017,,pub.1018109007,https://app.dimensions.ai/details/data_set/dataset.10539672,https://www.hepdata.net/record/77901,49 Mathematical Sciences; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
7568,7568,100,dataset.10547081,10.17182/hepdata.85696.v1/t193,"""Table 193"" of ""Measurement of differential cross sections for the production of top quark pairs and of additional jets in lepton+jets events from pp collisions at $\sqrt{s} =$ 13 TeV""",Absolute cross section at the parton level as a function of $|y(\text{t}_\text{h})|$ vs. $p_\text{T}(\text{t}_\text{h})$.,HEPData,1/1/2018,2018,,pub.1104689093,https://app.dimensions.ai/details/data_set/dataset.10547081,https://www.hepdata.net/record/86080,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
3291,3291,100,dataset.24988156,10.1371/journal.pbio.3000595.s027,Description of GAL4-driven GFP expression in multiple tissues.,"GFP, green fluorescent protein. (XLSX)",Public Library of Science,1/21/2020,2020,Lianna W. Wat; Charlotte Chao; Rachael Bartlett; Justin L. Buchanan; Jason W. Millington; Hui Ju Chih; Zahid S. Chowdhury; Puja Biswas; Vivian Huang; Leah J. Shin; Lin Chuan Wang; Marie-Pierre L. Gauthier; Maria C. Barone; Kristi L. Montooth; Michael A. Welte; Elizabeth J. Rideout,pub.1124219635,https://app.dimensions.ai/details/data_set/dataset.24988156,https://plos.figshare.com/articles/dataset/Description_of_GAL4-driven_GFP_expression_in_multiple_tissues_/14414872,,,,,,,,,
12059,12059,100,dataset.1386811,10.5517/ccxfdzp,CCDC 847043: Experimental Crystal Structure Determination,"An entry from the Cambridge Structural Database, the world’s repository for small molecule crystal structures. The entry contains experimental data from a crystal diffraction study. The deposited dataset for this entry is freely available from the CCDC and typically includes 3D coordinates, cell parameters, space group, experimental conditions and quality measures.",The Cambridge Structural Database,1/1/2011,2011,"Dugan, T.R.; Sun, Xianru; Rybak-Akimova, E.V.; Olatunji-Ojo, O.; Cundari, T.R.; Holland, P.L.",pub.1055850421,https://app.dimensions.ai/details/data_set/dataset.1386811,http://www.ccdc.cam.ac.uk/services/structure_request?id=doi:10.5517/ccxfdzp&sid=DataCite,,,,,,,,,
4290,4290,100,dataset.7614941,10.1021/jacs.9b11874.s003,"Site-Selective Halogenation
of Polyoxovanadate Clusters:
Atomically Precise Models for Electronic Effects of Anion Doping in
VO<sub>2</sub>","We report the synthesis and characterization of a monochloride-functionalized
poly­oxo­vanadate-alkoxide (POV-alkoxide) cluster, which
can serve as a molecular model for halogen-doped vanadium oxide (VO2) materials that have recently attracted great interest as
advanced materials for energy-saving smart window applications. Chloride-substituted
variants of the Lindqvist vanadium-oxide cluster were obtained via
two distinct chemical pathways: (1) direct halogenation of the isovalent
parent POV-alkoxide architecture, [V6O7(OC2H5)12]−2 with AlCl3 and (2) coordination of a chloride ion to a coordinatively
unsaturated vanadium center within a cluster that bears a single oxygen-atom
vacancy, [V6O6(OC2H5)12]0. Notably, our direct halogenation constitutes
the first example of selective, single-site halide doping of homometallic
metal oxide clusters. The chloride-containing compound, [V6O6Cl­(OC2H5)12]−1, was characterized by 1H NMR spectroscopy and X-ray crystallography.
The electronic structure of the chloride-functionalized POV-alkoxide
cluster was established by infrared, electronic absorption, and X-ray
photoelectron spectroscopy and revealed formation of a site-differentiated
VIII ion upon halogenation. Cyclic voltammetry was employed
to assess the electrochemical response of halide doping. A comparison
of the Cl-VO2 model to the fully oxygenated cluster, [V6O7(OC2H5)12]−2, provides molecular-level insights into a new proposed
mechanism by which halogenation increases the carrier density in solid
VO2, namely, through prompting charge separation within
the material.",American Chemical Society,12/18/2019,2019,"Brittney
E. Petel; Rachel L. Meyer; Michela L. Maiola; William W. Brennessel; Astrid M. Müller; Ellen M. Matson",pub.1123466561,https://app.dimensions.ai/details/data_set/dataset.7614941,https://acs.figshare.com/articles/dataset/Site-Selective_Halogenation_of_Polyoxovanadate_Clusters_Atomically_Precise_Models_for_Electronic_Effects_of_Anion_Doping_in_VO_sub_2_sub_/11485587,34 Chemical Sciences; 34 Chemical Sciences; 3402 Inorganic Chemistry; 3406 Physical Chemistry,,,,,,,,
4297,4297,100,dataset.118189,10.17632/kcz3c58mmv,Quasi-bound state wavefunctions,Title of program: QUASI-BOUND STATE WAVEFUNCTIONS Catalogue Id: ABMQ_v1_0 Nature of problem A program has been written which calculates the solution to the time independent Schrodinger equation for particles trapped by a Coulomb barrier but whose energy is greater than zero. Versions of this program held in the CPC repository in Mendeley Data ABMQ_v1_0; QUASI-BOUND STATE WAVEFUNCTIONS; 10.1016/0010-4655(76)90056-4 This program has been imported from the CPC Program Library held at Queen's University Belfast (1969-2019),Mendeley Data,12/5/2019,2019,"DeVries, R.M.",pub.1031052349,https://app.dimensions.ai/details/data_set/dataset.118189,https://data.mendeley.com/datasets/kcz3c58mmv,46 Information and Computing Sciences; 46 Information and Computing Sciences; 4601 Applied Computing,,,,,,,,
11433,11433,100,dataset.10533153,10.17182/hepdata.60126.v1/t50,"""Table 50"" of ""Measurement of the $Y(1S), Y(2S)$ and $Y(3S)$ Polarizations in $pp$ Collisions at $\sqrt{s}=7$ TeV""",Distribution of Lambda-Theta in the CS frame for Y(3S) production in the |y| range 0.6-1.2.,HEPData,1/1/2013,2013,,pub.1039714695,https://app.dimensions.ai/details/data_set/dataset.10533153,https://www.hepdata.net/record/60202,49 Mathematical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
5111,5111,100,dataset.10567833,10.17182/hepdata.85867.v1/t5,"""pT of the Z boson, dimuon"" of ""Electroweak production of two jets in association with a Z boson in proton–proton collisions at $\sqrt{s}= $ 13 $\,\text {TeV}$""","Distributions of $p_{TZ}$ in data and total SM background, EW Zjj signal and two ATGC scenarios in the dimuon channel",HEPData,1/1/2019,2019,,pub.1105735243,https://app.dimensions.ai/details/data_set/dataset.10567833,https://www.hepdata.net/record/89152,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
9014,9014,100,dataset.10546962,10.17182/hepdata.70879.v1/t4,"""Table 4"" of ""Measurements of t t-bar spin correlations and top quark polarization using dilepton final states in pp collisions at sqrt(s) = 8 TeV""",Systematic covariance matrix for the 12 bins of the normalized differential cross section as a function of $\left|\Delta \phi_{\ell^+\ell^-}\right|$.,HEPData,1/1/2016,2016,,pub.1022171317,https://app.dimensions.ai/details/data_set/dataset.10546962,https://www.hepdata.net/record/70948,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
8733,8733,100,dataset.2165458,10.17182/hepdata.71407.v1/t2,"""Table 2"" of ""Study of B Meson Production in p$+$Pb Collisions at $\sqrt{s_{NN}}=5.02$ TeV Using Exclusive Hadronic Decays""","The measured $p_{\rm{T}}$-differential production cross section of $B^{0}$ in $p$ + Pb collisions at $\sqrt{s_{NN}} = 5.02$ TeV, together with the cross section calculated by the FONLL model.",HEPData,1/1/2016,2016,,pub.1052382016,https://app.dimensions.ai/details/data_set/dataset.2165458,https://www.hepdata.net/record/71409,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
3897,3897,100,dataset.10569521,10.17182/hepdata.91215.v2/t34,"""Covariance Matrix auxiliary Figure 1a"" of ""Measurements of differential Z boson production cross sections in proton-proton collisions at $ \sqrt{s} $ = 13 TeV""",Covariance matrix using dressed level leptons for all bins used in bins of Z pt in the dimuon final state.,HEPData,1/1/2020,2020,,pub.1123388202,https://app.dimensions.ai/details/data_set/dataset.10569521,https://www.hepdata.net/record/92427,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
4721,4721,100,dataset.10577619,10.17182/hepdata.91969.v1/t21,"""Figure 6d"" of ""Search for physics beyond the standard model in multilepton final states in proton-proton collisions at $\sqrt{s} =$ 13 TeV""","The dielectron $M_{OSSF}^{300}$ distribution in the 3L(ee) 1B, 400",HEPData,1/1/2019,2019,,pub.1125613667,https://app.dimensions.ai/details/data_set/dataset.10577619,https://www.hepdata.net/record/92288,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
1454,1454,100,dataset.57774176,10.17182/hepdata.102798.v3/t7,"""Figure 6b (upper right)"" of ""Search for long-lived particles decaying to jets with displaced vertices in proton-proton collisions at $\sqrt{s}=$ 13 TeV""","Distribution of the $x$-$y$ distances between vertices, $d_{\mathrm{VV}}$, for 2017 and 2018 data. The background distribution $d_{\mathrm{VV}}^{\kern 0.15em\mathrm{C}}$ (blue continuous line) is constructed from one-vertex events in data, and is normalized to the number of two-vertex events in data which have exactly one 4-track vertex and one 3-track vertex. The two vertical red dashed lines separate the regions used in the fit.",HEPData,1/1/2021,2021,,pub.1141458064,https://app.dimensions.ai/details/data_set/dataset.57774176,https://www.hepdata.net/record/104887,49 Mathematical Sciences; 51 Physical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
11352,11352,100,dataset.10539364,10.17182/hepdata.60335.v1/t66,"""Table 66"" of ""Studies of Jet Mass in Dijet and W/Z + Jet Events""",Unfolded AK7 pruned jet mass distribution (x1000) for W->LEPTON NU events for the jet PT range 220-300 GeV/c.,HEPData,1/1/2013,2013,,pub.1006121367,https://app.dimensions.ai/details/data_set/dataset.10539364,https://www.hepdata.net/record/60412,51 Physical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
7995,7995,100,dataset.10565479,10.17182/hepdata.79078.v1/t2,"""Figure 7a"" of ""Searches for invisible decays of the Higgs boson in pp collisions at $\sqrt{s}$ = 7, 8, and 13 TeV""","Profile likelihood ratio as a function of $\mathcal{B}(H\rightarrow inv)$ assuming SM production cross sections of a Higgs boson with a mass of 125 GeV. The solid curves represent the observations in data and the dashed curves represent the expected result assuming no invisible decays of the Higgs boson. The observed and expected likelihood scans for the partial combinations of the qqH tagged, VH tagged, and ggH tagged analyses, and the full combination.",HEPData,1/1/2017,2017,,pub.1084017682,https://app.dimensions.ai/details/data_set/dataset.10565479,https://www.hepdata.net/record/80458,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
10517,10517,100,dataset.8554390,10.1021/es502244v.s002,"Using Discriminant
Analysis to Determine Sources of
Salinity in Shallow Groundwater Prior to Hydraulic Fracturing","High-volume
hydraulic fracturing (HVHF) gas-drilling operations
in the Marcellus Play have raised environmental concerns, including
the risk of groundwater contamination. Fingerprinting water impacted
by gas-drilling operations is not trivial given other potential sources
of contamination. We present a multivariate statistical modeling framework
for developing a quantitative, geochemical fingerprinting tool to
distinguish sources of high salinity in shallow groundwater. The model
was developed using new geochemical data for 204 wells in New York
State (NYS), which has a HVHF moratorium and published data for additional
wells in NYS and several salinity sources (Appalachian Basin brines,
road salt, septic effluent, and animal waste). The model incorporates
a stochastic simulation to predict the geochemistry of high salinity
(>20 mg/L Cl) groundwater impacted by different salinity sources
and
then employs linear discriminant analysis to classify samples from
different populations. Model results indicate Appalachian Basin brines
are the primary source of salinity in 35% of sampled NYS groundwater
wells with >20 mg/L Cl. The model provides an effective means for
differentiating groundwater impacted by basin brines versus other
contaminants. Using this framework, similar discriminatory tools can
be derived for other regions from background water quality data.",American Chemical Society,8/19/2014,2014,"Laura K. Lautz; Gregory
D. Hoke; Zunli Lu; Donald I. Siegel; Kayla Christian; John Daniel Kessler; Natalie
G. Teale",pub.1055508077,https://app.dimensions.ai/details/data_set/dataset.8554390,https://acs.figshare.com/articles/dataset/Using_Discriminant_Analysis_to_Determine_Sources_of_Salinity_in_Shallow_Groundwater_Prior_to_Hydraulic_Fracturing/2262997,37 Earth Sciences; 37 Earth Sciences; 3705 Geology; 3707 Hydrology,,,,,,,,
2463,2463,100,dataset.57620992,10.17182/hepdata.102956.v1/t20,"""parton_norm_st_covariance"" of ""Measurement of differential $\text{t}\overline{\text{t}}$ production cross sections in the full kinematic range using lepton+jets events from proton-proton collisions at $\sqrt{s} = $ 13 TeV""",differential cross sections.,HEPData,1/1/2021,2021,,pub.1143492381,https://app.dimensions.ai/details/data_set/dataset.57620992,https://www.hepdata.net/record/114443,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
881,881,100,dataset.57603164,10.1371/journal.pone.0258203.t001,Demographics in MMP-9 positive versus negative patients.,Demographics in MMP-9 positive versus negative patients.,Public Library of Science,10/18/2021,2021,You Hyun Lee; Seung-Pil Bang; Kyu-Young Shim; Myung-Jin Son; Harim Kim; Jong Hwa Jun,pub.1141955411,https://app.dimensions.ai/details/data_set/dataset.57603164,https://plos.figshare.com/articles/dataset/Demographics_in_MMP-9_positive_versus_negative_patients_/16827380,32 Biomedical and Clinical Sciences; 32 Biomedical and Clinical Sciences; 3202 Clinical Sciences,,,,Clinical,Clinical Medicine and Science,,,
4694,4694,100,dataset.10578201,10.17182/hepdata.86568.v1/t7,"""Cross section of Zprime signal"" of ""Search for lepton-flavor violating decays of heavy resonances and quantum black holes to eμ final states in proton-proton collisions at $ \sqrt{s}=13 $ TeV""",Cross section of Z' as a function of mass. The cross sections include branching ratio $BR(Z' -> e \mu) = 10\%$,HEPData,1/1/2019,2019,,pub.1104016131,https://app.dimensions.ai/details/data_set/dataset.10578201,https://www.hepdata.net/record/88879,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
335,335,100,dataset.58264248,10.17182/hepdata.113657.v1/t3,"""Figure 6c"" of ""Measurement of the inclusive and differential t$ \overline{t} $γ cross sections in the dilepton channel and effective field theory interpretation in proton-proton collisions at $ \sqrt{s} $ = 13 TeV""","Observed and predicted event yields as a function of $p_{T}(\gamma)$ in the $\mu\mu$ channel, after the fit to the data.",HEPData,1/1/2022,2022,,pub.1147963256,https://app.dimensions.ai/details/data_set/dataset.58264248,https://www.hepdata.net/record/116285,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
1332,1332,100,dataset.57774379,10.17182/hepdata.101374.v1/t4,"""Signal efficiency for 2l VBF categories"" of ""Search for a heavy vector resonance decaying to a ${\mathrm{Z}}_{\mathrm{}}^{\mathrm{}}$ boson and a Higgs boson in proton-proton collisions at $\sqrt{s} = 13\,\text {Te}\text {V} $""",The product of signal acceptance and efficiency in the 2l categories for the signal produced via vector boson fusion.,HEPData,1/1/2021,2021,,pub.1140166089,https://app.dimensions.ai/details/data_set/dataset.57774379,https://www.hepdata.net/record/111145,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,7 Affordable and Clean Energy
7911,7911,100,dataset.2120390,10.17182/hepdata.76735.v1/t2,"""Table 2"" of ""Measurement of the $t\bar{t}$ production cross section using events in the e$\mu$ final state in pp collisions at $\sqrt{s} =$ 13 TeV""",Measurement of the $t\bar{t}$ production cross-section in $pp$ collisions at $\sqrt{s} = 13$ TeV.,HEPData,1/1/2017,2017,,pub.1084226514,https://app.dimensions.ai/details/data_set/dataset.2120390,https://www.hepdata.net/record/76737,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
4421,4421,100,dataset.1850373,10.5517/ccdc.csd.cc22yz67,CCDC 1935429: Experimental Crystal Structure Determination,,The Cambridge Structural Database,1/1/2019,2019,"Neate, Peter G. N.; Greenhalgh, Mark D.; Brennessel, William W.; Thomas, Stephen P.; Neidig, Michael L.",pub.1116106255,https://app.dimensions.ai/details/data_set/dataset.1850373,http://www.ccdc.cam.ac.uk/services/structure_request?id=doi:10.5517/ccdc.csd.cc22yz67&sid=DataCite,,,,,,,,,
9829,9829,100,dataset.10555147,10.17182/hepdata.68072.v1/t1,"""Table 1"" of ""Measurement of the underlying event in the Drell-Yan process in proton-proton collisions at $\sqrt{s}=7$ TeV""",Toward $N_\text{chg}$ density vs $p_\perp^{\mu\mu}$.,HEPData,1/1/2015,2015,,pub.1002000223,https://app.dimensions.ai/details/data_set/dataset.10555147,https://www.hepdata.net/record/68076,49 Mathematical Sciences; 51 Physical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
1662,1662,100,dataset.57768286,10.17182/hepdata.80168.v2/t1,"""Table 1"" of ""Measurement of charged pion, kaon, and proton production in proton-proton collisions at $\sqrt{s}=13$ TeV""","Measured transverse momentum distributions of identified charged hadrons (PI+, K+ and P) at a centre-of-mass energy of 13 TeV.",HEPData,1/1/2021,2021,,pub.1099613675,https://app.dimensions.ai/details/data_set/dataset.57768286,https://www.hepdata.net/record/82349,49 Mathematical Sciences; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
3439,3439,100,dataset.24639181,10.17182/hepdata.97042.v1/t31,"""Signal strength per category"" of ""Evidence for Higgs boson decay to a pair of muons""",Signal strength modifiers measured for a Higgs boson with mass of 125.38 GeV in each production category as well as from the combined fit.,HEPData,1/1/2020,2020,,pub.1135005311,https://app.dimensions.ai/details/data_set/dataset.24639181,https://www.hepdata.net/record/99367,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
10603,10603,100,dataset.5262119,10.26093/cds/vizier.17940124,Young star forming region NGC 2264 Spitzer sources,,Strasbourg Astronomical Data Center,1/1/2014,2014,"Rapson, V.A.; Pipher, J.L.; Gutermuth, R.A.; Megeath, S.T.; Allen, T.S.; Myers, P.C.; Allen, L.E.",pub.1020076889,https://app.dimensions.ai/details/data_set/dataset.5262119,http://cdsarc.unistra.fr/viz-bin/cat/J/ApJ/794/124,,,,,,,,,
897,897,100,dataset.25967321,10.1371/journal.pone.0256692.t002,Coding of children’s questions.,Coding of children’s questions.,Public Library of Science,8/26/2021,2021,David Menendez; Rebecca E. Klapper; Michelle Z. Golden; Ava R. Mandel; Katrina A. Nicholas; Maria H. Schapfel; Olivia O. Silsby; Kailee A. Sowers; Dillanie Sumanthiran; Victoria E. Welch; Karl S. Rosengren,pub.1140656494,https://app.dimensions.ai/details/data_set/dataset.25967321,https://plos.figshare.com/articles/dataset/Coding_of_children_s_questions_/16452077,,,,,,,,,
10700,10700,100,dataset.10536946,10.17182/hepdata.64729.v1/t4,"""Table 4"" of ""Measurements of the $t\bar{t}$ charge asymmetry using the dilepton decay channel in pp collisions at $\sqrt{s} =$ 7 TeV""",Measurements of the unfolded ASYMC(LEPTON) values in bins of PT(TOP TOPBAR).,HEPData,1/1/2014,2014,,pub.1035982828,https://app.dimensions.ai/details/data_set/dataset.10536946,https://www.hepdata.net/record/64736,49 Mathematical Sciences; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
2206,2206,100,dataset.57624504,10.17182/hepdata.102956.v1/t269,"""particle_norm_ttm+thadpt_6"" of ""Measurement of differential $\text{t}\overline{\text{t}}$ production cross sections in the full kinematic range using lepton+jets events from proton-proton collisions at $\sqrt{s} = $ 13 TeV""",differential cross sections.,HEPData,1/1/2021,2021,,pub.1143492381,https://app.dimensions.ai/details/data_set/dataset.57624504,https://www.hepdata.net/record/114685,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
4258,4258,100,dataset.10560082,10.17182/hepdata.90835.v1/t12,"""Yields and post-fit BG, Njets 8-9"" of ""Search for supersymmetry in proton-proton collisions at 13 TeV in final states with jets and missing transverse momentum""",Observed yields and post-fit background predictions for Njets 8-9.,HEPData,1/1/2020,2020,,pub.1122384945,https://app.dimensions.ai/details/data_set/dataset.10560082,https://www.hepdata.net/record/93602,49 Mathematical Sciences; 4902 Mathematical Physics; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
4301,4301,100,dataset.7620866,10.1371/journal.pone.0224805.t001,Primer sequences for semi-quantitative real-time PCR.,Primer sequences for semi-quantitative real-time PCR.,Public Library of Science,11/18/2019,2019,Seung Pil Bang; Chang Yeor Yeon; Nirpesh Adhikari; Sanjiv Neupane; Harim Kim; Dong Cheol Lee; Myeong Jin Son; Hyun Gyo Lee; Jae-Young Kim; Jong Hwa Jun,pub.1122684523,https://app.dimensions.ai/details/data_set/dataset.7620866,https://plos.figshare.com/articles/dataset/Primer_sequences_for_semi-quantitative_real-time_PCR_/10322603,31 Biological Sciences; 31 Biological Sciences; 3108 Plant Biology,,,,,,,,
2975,2975,100,dataset.25047450,10.17182/hepdata.102798.v2/t29,"""Figure A1"" of ""Search for long-lived particles decaying to jets with displaced vertices in proton-proton collisions at $\sqrt{s}=$ 13 TeV""","Distribution of the azimuthal angle between vertices, $\Delta\phi_{\mathrm{VV}}$, for 2017 and 2018 data with a background distribution constructed from 3-track one-vertex events in data normalized to the two-vertex data for events with 3-track vertices.",HEPData,1/1/2021,2021,,pub.1141458064,https://app.dimensions.ai/details/data_set/dataset.25047450,https://www.hepdata.net/record/104908,49 Mathematical Sciences; 51 Physical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
9990,9990,100,dataset.10545757,10.17182/hepdata.70063.v1/t12,"""Table 12"" of ""Shape, Transverse Size, and Charged Hadron Multiplicity of Jets in pp Collisions at 7 TeV""",The measured differential jet shape $\rho(r)$ for jets with 125 GeV $< p_{\mathrm{T}},HEPData,1/1/2015,2015,,pub.1008311171,https://app.dimensions.ai/details/data_set/dataset.10545757,https://www.hepdata.net/record/70091,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
2090,2090,100,dataset.57638155,10.17182/hepdata.110665.v1/t21,"""Table 21"" of ""Study of Z boson plus jets events using variables sensitive to double-parton scattering in pp collisions at 13 TeV""",Correlation matrix for Delta Phi between Z boson and the leading jet for Z+ ≥ 1 jet events (for normalized differential cross section measurements).,HEPData,1/1/2021,2021,,pub.1142193668,https://app.dimensions.ai/details/data_set/dataset.57638155,https://www.hepdata.net/record/110686,49 Mathematical Sciences; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
10000,10000,100,dataset.10545539,10.17182/hepdata.70063.v1/t4,"""Table 4"" of ""Shape, Transverse Size, and Charged Hadron Multiplicity of Jets in pp Collisions at 7 TeV""",The measured differential jet shape $\rho(r)$ for jets with 40 GeV $< p_{\mathrm{T}},HEPData,1/1/2015,2015,,pub.1008311171,https://app.dimensions.ai/details/data_set/dataset.10545539,https://www.hepdata.net/record/70081,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
11111,11111,100,dataset.8852049,10.1371/journal.pone.0026739.t004,Risk of Viral Failure in Chinese HIV+ Patients Based on Nevirapine Trough Concentration of 3.9 µg/ml.,"Two patient groups, complete and partial response with viral load <50 copies/ml and 50–400 copies/ml, respectively and virologic failure with viral load greater than 400 copies/ml, were included for analysis.",Public Library of Science,2/20/2013,2013,Jia Wang; Huijuan Kou; Qiang Fu; Yang Han; Zhifeng Qiu; Lingyan Zuo; Yanling Li; Zhu Zhu; Min Ye; Qing Ma; Taisheng Li,pub.1042684617,https://app.dimensions.ai/details/data_set/dataset.8852049,https://plos.figshare.com/articles/dataset/_Risk_of_Viral_Failure_in_Chinese_HIV_Patients_Based_on_Nevirapine_Trough_Concentration_of_3_9_181_g_ml_/388729,32 Biomedical and Clinical Sciences; 32 Biomedical and Clinical Sciences; 3207 Medical Microbiology,Clinical Research; HIV/AIDS; Infectious Diseases,Infection,,,,,,
12420,12420,100,dataset.10530820,10.17182/hepdata.57909.v1/t13,"""Table 13"" of ""Charged Particle Multiplicities in $pp$ Interactions at $\sqrt{s}=0.9$, 2.36, and 7 TeV""",Fully corrected charged hadron multiplicity spectrum for |pseudorapidity| < 1.0 at a centre-of-mass energy of 7000 GeV.,HEPData,1/1/2010,2010,,pub.1010655823,https://app.dimensions.ai/details/data_set/dataset.10530820,https://www.hepdata.net/record/57915,49 Mathematical Sciences; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
4286,4286,100,dataset.10265591,10.5517/ccdc.csd.cc256s6d,CCDC 2002513: Experimental Crystal Structure Determination,,The Cambridge Structural Database,1/1/2020,2020,"Neate, Peter G. N.; Greenhalgh, Mark D.; Brennessel, William W.; Thomas, Stephen P.; Neidig, Michael L.",pub.1128481664,https://app.dimensions.ai/details/data_set/dataset.10265591,http://www.ccdc.cam.ac.uk/services/structure_request?id=doi:10.5517/ccdc.csd.cc256s6d&sid=DataCite,,,,,,,,,
