,publisher,publisher_categories,keywords,title,publicationYear,author(s),researcher,tot_appearances,tot_pubYrs,tot_keywords,tot_publishers
2268,frontiers,scientific,41 environmental sciences; 41 environmental sciences; 4103 environmental biotechnology,"table_3_identification and comparative analysis of venom proteins in a pupal ectoparasitoid, pachycrepoideus vindemmiae.xls",2020,l yang,lei yang,1,1,1,1
2269,frontiers,scientific,41 environmental sciences; 41 environmental sciences; 4103 environmental biotechnology,"table_3_identification and comparative analysis of venom proteins in a pupal ectoparasitoid, pachycrepoideus vindemmiae.xls",2020,y yang, yi yang,3,3,2,2
2270,frontiers,scientific,41 environmental sciences; 41 environmental sciences; 4103 environmental biotechnology,"table_3_identification and comparative analysis of venom proteins in a pupal ectoparasitoid, pachycrepoideus vindemmiae.xls",2020,m liu, ming-ming liu,1,1,1,1
2271,frontiers,scientific,41 environmental sciences; 41 environmental sciences; 4103 environmental biotechnology,"table_3_identification and comparative analysis of venom proteins in a pupal ectoparasitoid, pachycrepoideus vindemmiae.xls",2020,z yan, zhi-chao yan,8,7,5,5
2272,frontiers,scientific,41 environmental sciences; 41 environmental sciences; 4103 environmental biotechnology,"table_3_identification and comparative analysis of venom proteins in a pupal ectoparasitoid, pachycrepoideus vindemmiae.xls",2020,l qiu, li-ming qiu,1,1,1,1
2273,frontiers,scientific,41 environmental sciences; 41 environmental sciences; 4103 environmental biotechnology,"table_3_identification and comparative analysis of venom proteins in a pupal ectoparasitoid, pachycrepoideus vindemmiae.xls",2020,q fang, qi fang,4,4,3,3
2274,frontiers,scientific,41 environmental sciences; 41 environmental sciences; 4103 environmental biotechnology,"table_3_identification and comparative analysis of venom proteins in a pupal ectoparasitoid, pachycrepoideus vindemmiae.xls",2020,f wang, fang wang,4,3,4,4
2275,frontiers,scientific,41 environmental sciences; 41 environmental sciences; 4103 environmental biotechnology,"table_3_identification and comparative analysis of venom proteins in a pupal ectoparasitoid, pachycrepoideus vindemmiae.xls",2020,j werren, john h. werren,33,12,14,5
2276,frontiers,scientific,41 environmental sciences; 41 environmental sciences; 4103 environmental biotechnology,"table_3_identification and comparative analysis of venom proteins in a pupal ectoparasitoid, pachycrepoideus vindemmiae.xls",2020,g ye, gong-yin ye,5,5,3,3
2277,public library of science,scientific,32 biomedical and clinical sciences; 3215 reproductive medicine; 44 human society,demographic information on young women focus group participants.,2020,n richards,nicole k. richards,2,2,2,1
2278,public library of science,scientific,32 biomedical and clinical sciences; 3215 reproductive medicine; 44 human society,demographic information on young women focus group participants.,2020,e crockett, elizabeth crockett,1,1,1,1
2279,public library of science,scientific,32 biomedical and clinical sciences; 3215 reproductive medicine; 44 human society,demographic information on young women focus group participants.,2020,c morley, christopher p. morley,2,2,2,1
2280,public library of science,scientific,32 biomedical and clinical sciences; 3215 reproductive medicine; 44 human society,demographic information on young women focus group participants.,2020,b levandowski, brooke a. levandowski,2,2,2,1
2281,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,g thomas,gregg thomas,1,1,1,1
2282,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,e dohmen, elias dohmen,1,1,1,1
2283,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,d hughes, daniel hughes,9,4,6,2
2284,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,s murali, shwetha murali,9,4,6,2
2285,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,m poelchau, monica poelchau,8,4,5,2
2286,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,k glastad, karl glastad,3,3,3,2
2287,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,c anstead, clare anstead,1,1,1,1
2288,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,n ayoub, nadia ayoub,1,1,1,1
2289,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,p batterham, phillip batterham,1,1,1,1
2290,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,m bellair, michelle bellair,1,1,1,1
2291,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,g binford, greta binford,1,1,1,1
2292,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,h chao, hsu chao,9,4,6,2
2293,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,y chen, yolanda chen,11,6,6,6
2294,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,c childers, christopher childers,8,4,5,2
2295,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,h dinh, huyen dinh,9,4,6,2
2296,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,h doddapaneni, harsha doddapaneni,9,4,6,2
2297,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,j duan, jian duan,3,3,3,2
2298,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,s dugan, shannon dugan,9,4,6,2
2299,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,l esposito, lauren esposito,1,1,1,1
2300,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,m friedrich, markus friedrich,9,5,6,2
2301,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,j garb, jessica garb,1,1,1,1
2302,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,r gasser, robin gasser,1,1,1,1
2303,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,m goodisman, michael goodisman,3,3,3,2
2304,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,d gundersen-rindal, dawn gundersen-rindal,2,1,2,1
2305,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,y han, yi han,10,5,7,3
2306,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,a handler, alfred handler,2,2,2,1
2307,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,m hatakeyama, masatsugu hatakeyama,1,1,1,1
2308,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,l hering, lars hering,1,1,1,1
2309,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,w hunter, wayne hunter,1,1,1,1
2310,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,p ioannidis, panagiotis ioannidis,7,4,5,1
2311,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,j jayaseelan, joy jayaseelan,1,1,1,1
2312,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,d kalra, divya kalra,1,1,1,1
2313,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,a khila, abderrahman khila,3,2,2,1
2314,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,p korhonen, pasi korhonen,1,1,1,1
2315,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,c lee, carol lee,6,5,4,3
2316,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,s lee, sandra lee,12,7,8,4
2317,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,y li, yiyuan li,8,5,5,3
2318,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,a lindsey, amelia lindsey,3,2,3,2
2319,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,g mayer, georg mayer,1,1,1,1
2320,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,a mcgregor, alistair mcgregor,1,1,1,1
2321,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,d mckenna, duane mckenna,2,2,2,1
2322,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,b misof, bernhard misof,1,1,1,1
2323,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,m munidasa, mala munidasa,1,1,1,1
2324,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,m munoz-torres, monica munoz-torres,5,3,4,2
2325,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,d muzny, donna muzny,9,4,6,2
2326,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,o niehuis, oliver niehuis,3,2,3,2
2327,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,n osuji-lacy, nkechinyere osuji-lacy,1,1,1,1
2328,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,s palli, subba palli,4,3,3,1
2329,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,k panfilio, kristen panfilio,6,3,4,1
2330,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,m pechmann, matthias pechmann,1,1,1,1
2331,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,t perry, trent perry,1,1,1,1
2332,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,r peters, ralph peters,1,1,1,1
2333,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,h poynton, helen poynton,2,2,2,2
2334,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,n prpic, nikola-michael prpic,1,1,1,1
2335,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,j qu, jiaxin qu,11,5,8,2
2336,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,d rotenberg, dorith rotenberg,2,1,2,1
2337,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,c schal, coby schal,1,1,1,1
2338,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,s schoville, sean schoville,1,1,1,1
2339,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,e scully, erin scully,2,2,2,1
2340,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,e skinner, evette skinner,1,1,1,1
2341,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,d sloan, daniel sloan,1,1,1,1
2342,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,r stouthamer, richard stouthamer,3,2,3,2
2343,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,m strand, michael strand,1,1,1,1
2344,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,n szucsich, nikolaus szucsich,1,1,1,1
2345,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,a wijeratne, asela wijeratne,1,1,1,1
2346,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,n young, neil young,1,1,1,1
2347,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,e zattara, eduardo zattara,1,1,1,1
2348,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,j benoit, joshua benoit,11,5,6,3
2349,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,e zdobnov, evgeny zdobnov,8,5,5,2
2350,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,m pfrender, michael pfrender,1,1,1,1
2351,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,k hackett, kevin hackett,1,1,1,1
2352,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,j werren, john werren,33,12,14,5
2353,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,k worley, kim worley,9,4,6,2
2354,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,r gibbs, richard gibbs,9,4,6,2
2355,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,a chipman, ariel chipman,3,2,2,1
2356,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,r waterhouse, robert waterhouse,7,4,5,1
2357,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,e bornberg-bauer, erich bornberg-bauer,1,1,1,1
2358,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,m hahn, matthew hahn,1,1,1,1
2359,springer nature,geology/environment,0,additional file 1. of gene content evolution in the arthropods,2020,s richards, stephen richards,9,4,6,2
2360,public library of science,scientific,0,details of the statistical analysis for all figures.,2020,l wat,lianna w. wat,1,1,1,1
2361,public library of science,scientific,0,details of the statistical analysis for all figures.,2020,c chao, charlotte chao,1,1,1,1
2362,public library of science,scientific,0,details of the statistical analysis for all figures.,2020,r bartlett, rachael bartlett,1,1,1,1
2363,public library of science,scientific,0,details of the statistical analysis for all figures.,2020,j buchanan, justin l. buchanan,2,2,2,2
2364,public library of science,scientific,0,details of the statistical analysis for all figures.,2020,j millington, jason w. millington,1,1,1,1
2365,public library of science,scientific,0,details of the statistical analysis for all figures.,2020,h chih, hui ju chih,1,1,1,1
2366,public library of science,scientific,0,details of the statistical analysis for all figures.,2020,z chowdhury, zahid s. chowdhury,1,1,1,1
2367,public library of science,scientific,0,details of the statistical analysis for all figures.,2020,p biswas, puja biswas,1,1,1,1
2368,public library of science,scientific,0,details of the statistical analysis for all figures.,2020,v huang, vivian huang,1,1,1,1
2369,public library of science,scientific,0,details of the statistical analysis for all figures.,2020,l shin, leah j. shin,1,1,1,1
2370,public library of science,scientific,0,details of the statistical analysis for all figures.,2020,l wang, lin chuan wang,5,3,2,3
2371,public library of science,scientific,0,details of the statistical analysis for all figures.,2020,m gauthier, marie-pierre l. gauthier,1,1,1,1
2372,public library of science,scientific,0,details of the statistical analysis for all figures.,2020,m barone, maria c. barone,1,1,1,1
2373,public library of science,scientific,0,details of the statistical analysis for all figures.,2020,k montooth, kristi l. montooth,1,1,1,1
2374,public library of science,scientific,0,details of the statistical analysis for all figures.,2020,m welte, michael a. welte,2,2,2,1
2375,public library of science,scientific,0,details of the statistical analysis for all figures.,2020,e rideout, elizabeth j. rideout,1,1,1,1
2376,american chemical society,scientific,34 chemical sciences; 34 chemical sciences; 3405 organic chemistry,"highly stereoselective synthesis of fused cyclopropane-γ-lactams
via biocatalytic iron-catalyzed intramolecular cyclopropanation",2020,x ren,xinkun ren,5,2,2,2
2377,american chemical society,scientific,34 chemical sciences; 34 chemical sciences; 3405 organic chemistry,"highly stereoselective synthesis of fused cyclopropane-γ-lactams
via biocatalytic iron-catalyzed intramolecular cyclopropanation",2020,a chandgude, ajay l. chandgude,6,2,2,2
2378,american chemical society,scientific,34 chemical sciences; 34 chemical sciences; 3405 organic chemistry,"highly stereoselective synthesis of fused cyclopropane-γ-lactams
via biocatalytic iron-catalyzed intramolecular cyclopropanation",2020,r fasan, rudi fasan,18,6,6,2
2379,american chemical society,scientific,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"silylation of pyridine, picolines, and quinoline with
a zinc catalyst",2020,j prybil,"joshua
w. prybil",2,1,2,2
2380,american chemical society,scientific,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"silylation of pyridine, picolines, and quinoline with
a zinc catalyst",2020,r wallace, rodney wallace,4,3,3,2
2381,american chemical society,scientific,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"silylation of pyridine, picolines, and quinoline with
a zinc catalyst",2020,a warren, alexandra warren,2,1,2,2
2382,american chemical society,scientific,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"silylation of pyridine, picolines, and quinoline with
a zinc catalyst",2020,j klingman, jordan klingman,2,1,2,2
2383,american chemical society,scientific,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"silylation of pyridine, picolines, and quinoline with
a zinc catalyst",2020,r vaillant, romane vaillant,2,1,2,2
2384,american chemical society,scientific,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"silylation of pyridine, picolines, and quinoline with
a zinc catalyst",2020,m hall, michael b. hall,5,4,3,2
2385,american chemical society,scientific,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"silylation of pyridine, picolines, and quinoline with
a zinc catalyst",2020,x yang, xin yang,4,3,3,3
2386,american chemical society,scientific,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"silylation of pyridine, picolines, and quinoline with
a zinc catalyst",2020,w brennessel," brennessel, william w.",327,18,10,2
2387,american chemical society,scientific,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"silylation of pyridine, picolines, and quinoline with
a zinc catalyst",2020,r chin, robert m. chin,17,12,3,2
2388,public library of science,scientific,0,<i>participant characteristics (n = 23)</i>.,2020,r ramchandran,rajeev s. ramchandran,2,1,2,1
2389,public library of science,scientific,0,<i>participant characteristics (n = 23)</i>.,2020,s yilmaz, sule yilmaz,1,1,1,1
2390,public library of science,scientific,0,<i>participant characteristics (n = 23)</i>.,2020,e greaux, evelyn greaux,1,1,1,1
2391,public library of science,scientific,0,<i>participant characteristics (n = 23)</i>.,2020,a dozier, ann dozier,3,2,3,2
2392,american chemical society,scientific,31 biological sciences; 3102 bioinformatics and computational biology; 34 chemical sciences,"nuclear magnetic resonance of single-stranded rnas
and dnas of caau and ucaauc as benchmarks for molecular dynamics simulations",2020,j zhao,jianbo zhao,2,2,2,1
2393,american chemical society,scientific,31 biological sciences; 3102 bioinformatics and computational biology; 34 chemical sciences,"nuclear magnetic resonance of single-stranded rnas
and dnas of caau and ucaauc as benchmarks for molecular dynamics simulations",2020,s kennedy, scott d. kennedy,2,2,2,1
2394,american chemical society,scientific,31 biological sciences; 3102 bioinformatics and computational biology; 34 chemical sciences,"nuclear magnetic resonance of single-stranded rnas
and dnas of caau and ucaauc as benchmarks for molecular dynamics simulations",2020,k berger, kyle d. berger,1,1,1,1
2395,american chemical society,scientific,31 biological sciences; 3102 bioinformatics and computational biology; 34 chemical sciences,"nuclear magnetic resonance of single-stranded rnas
and dnas of caau and ucaauc as benchmarks for molecular dynamics simulations",2020,d turner, douglas h. turner,8,6,7,2
2396,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3211 oncology and carcinogenesis,"supplementary table 6 from purity independent subtyping of tumors (purist), a clinically robust, single-sample classifier for tumor subtyping in pancreatic cancer",2020,n rashid,naim u. rashid,1,1,1,1
2397,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3211 oncology and carcinogenesis,"supplementary table 6 from purity independent subtyping of tumors (purist), a clinically robust, single-sample classifier for tumor subtyping in pancreatic cancer",2020,x peng, xianlu l. peng,1,1,1,1
2398,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3211 oncology and carcinogenesis,"supplementary table 6 from purity independent subtyping of tumors (purist), a clinically robust, single-sample classifier for tumor subtyping in pancreatic cancer",2020,c jin, chong jin,1,1,1,1
2399,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3211 oncology and carcinogenesis,"supplementary table 6 from purity independent subtyping of tumors (purist), a clinically robust, single-sample classifier for tumor subtyping in pancreatic cancer",2020,r moffitt, richard a. moffitt,1,1,1,1
2400,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3211 oncology and carcinogenesis,"supplementary table 6 from purity independent subtyping of tumors (purist), a clinically robust, single-sample classifier for tumor subtyping in pancreatic cancer",2020,k volmar, keith e. volmar,1,1,1,1
2401,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3211 oncology and carcinogenesis,"supplementary table 6 from purity independent subtyping of tumors (purist), a clinically robust, single-sample classifier for tumor subtyping in pancreatic cancer",2020,b belt, brian a. belt,1,1,1,1
2402,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3211 oncology and carcinogenesis,"supplementary table 6 from purity independent subtyping of tumors (purist), a clinically robust, single-sample classifier for tumor subtyping in pancreatic cancer",2020,r panni, roheena z. panni,1,1,1,1
2403,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3211 oncology and carcinogenesis,"supplementary table 6 from purity independent subtyping of tumors (purist), a clinically robust, single-sample classifier for tumor subtyping in pancreatic cancer",2020,t nywening, timothy m. nywening,1,1,1,1
2404,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3211 oncology and carcinogenesis,"supplementary table 6 from purity independent subtyping of tumors (purist), a clinically robust, single-sample classifier for tumor subtyping in pancreatic cancer",2020,s herrera, silvia g. herrera,1,1,1,1
2405,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3211 oncology and carcinogenesis,"supplementary table 6 from purity independent subtyping of tumors (purist), a clinically robust, single-sample classifier for tumor subtyping in pancreatic cancer",2020,k moore, kristin j. moore,1,1,1,1
2406,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3211 oncology and carcinogenesis,"supplementary table 6 from purity independent subtyping of tumors (purist), a clinically robust, single-sample classifier for tumor subtyping in pancreatic cancer",2020,s hennessey, sarah g. hennessey,1,1,1,1
2407,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3211 oncology and carcinogenesis,"supplementary table 6 from purity independent subtyping of tumors (purist), a clinically robust, single-sample classifier for tumor subtyping in pancreatic cancer",2020,a morrison, ashley b. morrison,1,1,1,1
2408,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3211 oncology and carcinogenesis,"supplementary table 6 from purity independent subtyping of tumors (purist), a clinically robust, single-sample classifier for tumor subtyping in pancreatic cancer",2020,r kawalerski, ryan kawalerski,1,1,1,1
2409,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3211 oncology and carcinogenesis,"supplementary table 6 from purity independent subtyping of tumors (purist), a clinically robust, single-sample classifier for tumor subtyping in pancreatic cancer",2020,a nayyar, apoorve nayyar,1,1,1,1
2410,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3211 oncology and carcinogenesis,"supplementary table 6 from purity independent subtyping of tumors (purist), a clinically robust, single-sample classifier for tumor subtyping in pancreatic cancer",2020,a chang, audrey e. chang,3,2,2,2
2411,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3211 oncology and carcinogenesis,"supplementary table 6 from purity independent subtyping of tumors (purist), a clinically robust, single-sample classifier for tumor subtyping in pancreatic cancer",2020,b schmidt, benjamin schmidt,1,1,1,1
2412,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3211 oncology and carcinogenesis,"supplementary table 6 from purity independent subtyping of tumors (purist), a clinically robust, single-sample classifier for tumor subtyping in pancreatic cancer",2020,h kim, hong jin kim,5,4,4,3
2413,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3211 oncology and carcinogenesis,"supplementary table 6 from purity independent subtyping of tumors (purist), a clinically robust, single-sample classifier for tumor subtyping in pancreatic cancer",2020,d linehan, david c. linehan,1,1,1,1
2414,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3211 oncology and carcinogenesis,"supplementary table 6 from purity independent subtyping of tumors (purist), a clinically robust, single-sample classifier for tumor subtyping in pancreatic cancer",2020,j yeh, jen jen yeh,1,1,1,1
2415,strasbourg astronomical data center,scientific,0,alma and naco observations towards v1400 cen,2020,m kenworthy,"kenworthy, m.a.",4,3,1,1
2416,strasbourg astronomical data center,scientific,0,alma and naco observations towards v1400 cen,2020,p klaassen," klaassen, p.d.",1,1,1,1
2417,strasbourg astronomical data center,scientific,0,alma and naco observations towards v1400 cen,2020,m min," min, m.",1,1,1,1
2418,strasbourg astronomical data center,scientific,0,alma and naco observations towards v1400 cen,2020,n van der marel," van der marel, n.",1,1,1,1
2419,strasbourg astronomical data center,scientific,0,alma and naco observations towards v1400 cen,2020,b bohn,  bohn,1,1,1,1
2420,strasbourg astronomical data center,scientific,0,alma and naco observations towards v1400 cen,2020,m a. kama," a. kama, m.",1,1,1,1
2421,strasbourg astronomical data center,scientific,0,alma and naco observations towards v1400 cen,2020,a triaud," triaud, a.",1,1,1,1
2422,strasbourg astronomical data center,scientific,0,alma and naco observations towards v1400 cen,2020,a hales," hales, a.",1,1,1,1
2423,strasbourg astronomical data center,scientific,0,alma and naco observations towards v1400 cen,2020,j monkiewicz," monkiewicz, j.",1,1,1,1
2424,strasbourg astronomical data center,scientific,0,alma and naco observations towards v1400 cen,2020,e scott," scott, e.",1,1,1,1
2425,strasbourg astronomical data center,scientific,0,alma and naco observations towards v1400 cen,2020,e mamajek," mamajek, e.e.",30,14,2,2
2428,genetics society of america (gsa),medical/health,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"supplemental material for wang et al., 2020",2020,x xiong," xiong, xiao",4,3,3,2
2429,genetics society of america (gsa),medical/health,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"supplemental material for wang et al., 2020",2020,e martinson," martinson, ellen o.",7,4,4,3
2430,genetics society of america (gsa),medical/health,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"supplemental material for wang et al., 2020",2020,j lynch," lynch, jeremy",3,2,2,2
2431,genetics society of america (gsa),medical/health,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"supplemental material for wang et al., 2020",2020,c zhang," zhang, chao",8,5,5,6
2432,genetics society of america (gsa),medical/health,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"supplemental material for wang et al., 2020",2020,j werren," werren, john h",33,12,14,5
2433,genetics society of america (gsa),medical/health,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"supplemental material for wang et al., 2020",2020,x wang," wang, xu",13,9,6,7
2434,the cambridge structural database,scientific,0,ccdc 1936433: experimental crystal structure determination,2020,a vanderweide,"vanderweide, andrew i.",5,4,2,2
2435,the cambridge structural database,scientific,0,ccdc 1936433: experimental crystal structure determination,2020,w brennessel," brennessel, william w.",327,18,10,2
2436,the cambridge structural database,scientific,0,ccdc 1936433: experimental crystal structure determination,2020,w jones," jones, william d.",156,27,10,2
2437,the cambridge structural database,scientific,0,ccdc 1995370: experimental crystal structure determination,2020,j sears,"sears, jeffrey d.",6,4,1,1
2438,the cambridge structural database,scientific,0,ccdc 1995370: experimental crystal structure determination,2020,d sergentu," sergentu, dumitru-claudiu",2,2,1,1
2439,the cambridge structural database,scientific,0,ccdc 1995370: experimental crystal structure determination,2020,t baker," baker, tessa m.",10,6,3,2
2440,the cambridge structural database,scientific,0,ccdc 1995370: experimental crystal structure determination,2020,w brennessel," brennessel, william w.",327,18,10,2
2441,the cambridge structural database,scientific,0,ccdc 1995370: experimental crystal structure determination,2020,j autschbach," autschbach, jochen",5,4,2,2
2442,the cambridge structural database,scientific,0,ccdc 1995370: experimental crystal structure determination,2020,m neidig," neidig, michael l.",70,10,5,2
2443,the cambridge structural database,scientific,0,ccdc 1997680: experimental crystal structure determination,2020,s abdul-rashed,"abdul-rashed, shukree",1,1,1,1
2444,the cambridge structural database,scientific,0,ccdc 1997680: experimental crystal structure determination,2020,g alachouzos," alachouzos, georgios",7,4,3,2
2445,the cambridge structural database,scientific,0,ccdc 1997680: experimental crystal structure determination,2020,w brennessel," brennessel, william w.",327,18,10,2
2446,the cambridge structural database,scientific,0,ccdc 1997680: experimental crystal structure determination,2020,a frontier," frontier, alison j.",51,19,3,2
2447,the cambridge structural database,scientific,0,ccdc 1992272: experimental crystal structure determination,2020,g alachouzos,"alachouzos, georgios",7,4,3,2
2448,the cambridge structural database,scientific,0,ccdc 1992272: experimental crystal structure determination,2020,c holt," holt, connor",4,3,2,2
