author(s),publisher,keywords,title,publicationYear,publisher_categories
janelle m. veazey; sophia i eliseeva; sara e. hillman; kristie stiles; timothy r. smyth; charlotte e. morrissey; erika j. tillotson; dave j. topham; timothy j. chapman; steve n. georas,frontiers,31 biological sciences; 32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences; 3207 medical microbiology,datasheet_1_inhibiting protein kinase d promotes airway epithelial barrier integrity in mouse models of influenza a virus infection.pdf,2020,scientific
"dissanayake, d. m. m. mevan; petel, brittney e.; brennessel, william w.; bren, kara l.; matson, ellen m.",the cambridge structural database,0,ccdc 2001047: experimental crystal structure determination,2020,scientific
danielle e. desa; robert l. strawderman; wencheng wu; robert l. hill; marcel smid; j. w. m. martens; bradley m. turner; edward b. brown,springer nature,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3211 oncology and carcinogenesis,additional file 2 of intratumoral heterogeneity of second-harmonic generation scattering from tumor collagen and its effects on metastatic risk prediction,2020,geology/environment
david a. tovar; jacob a. westerberg; michele a. cox; kacie dougherty; thomas a. carlson; mark t. wallace; alexander maier,frontiers,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3209 neurosciences; 46 information and computing sciences; 4611 machine learning,data_sheet_1_stimulus feature-specific information flow along the columnar cortical microcircuit revealed by multivariate laminar spiking analysis.pdf,2020,scientific
stephenson d.; alexander r.; aggarwal v.; badawy r.; bain l.; bhatnagar r.; bloem b.r.; boroojerdi b.; burton j.; cedarbaum j.m.; cosman j.; dexter d.t.; dockendorf m.; dorsey e.r.; dowling a.v.; evers l.j.w.; fisher k.; frasier m.; garcia-gancedo l.; goldsack j.c.; hill d.; hitchcock j.; hu m.t.; lawton m.p.; lee s.j.; lindemann m.; marek k.; mehrotra n.; meinders m.j.; minchik m.; oliva l.; romero k.; roussos g.; rubens r.; sadar s.; scheeren j.; sengoku e.; simuni t.; stebbins g.; taylor k.i.; yang b.; zach n.; on behalf of the critical path for parkinson’s consortium,karger publishers,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary material for: precompetitive consensus building to facilitate the use of digital health technologies to support parkinson disease drug development through regulatory science,2020,medical/health
"ren, xinkun; chandgude, ajay l.; fasan, rudi",the cambridge structural database,0,ccdc 1962325: experimental crystal structure determination,2020,scientific
"eckenhoff, william t.; chang, alison s.",the cambridge structural database,0,ccdc 1953674: experimental crystal structure determination,2020,scientific
higano n.s.; thomen r.p.; quirk j.d.; huyck h.l.; hahn a.d.; fain s.b.; pryhuber g.s.; woods j.c.,karger publishers,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3213 paediatrics,supplementary material for: alveolar airspace size in healthy and diseased infant lungs measured via hyperpolarized <sup>3</sup>he gas diffusion magnetic resonance imaging,2020,medical/health
dorith rotenberg; aaron a. baumann; sulley ben-mahmoud; olivier christiaens; wannes dermauw; panagiotis ioannidis; chris g. c. jacobs; iris m. vargas jentzsch; jonathan e. oliver; monica f. poelchau; swapna priya rajarapu; derek j. schneweis; simon snoeck; clauvis n. t. taning; dong wei; shirani m. k. widana gamage; daniel s. t. hughes; shwetha c. murali; samuel t. bailey; nicolas e. bejerman; christopher j. holmes; emily c. jennings; andrew j. rosendale; andrew rosselot; kaylee hervey; brandi a. schneweis; sammy cheng; christopher childers; felipe a. simão; ralf g. dietzgen; hsu chao; huyen dinh; harsha vardhan doddapaneni; shannon dugan; yi han; sandra l. lee; donna m. muzny; jiaxin qu; kim c. worley; joshua b. benoit; markus friedrich; jeffery w. jones; kristen a. panfilio; yoonseong park; hugh m. robertson; guy smagghe; diane e. ullman; maurijn van der zee; thomas van leeuwen; jan a. veenstra; robert m. waterhouse; matthew t. weirauch; john h. werren; anna e. whitfield; evgeny m. zdobnov; richard a. gibbs; stephen richards,springer nature,31 biological sciences; 31 biological sciences; 3105 genetics,additional file 10 of genome-enabled insights into the biology of thrips as crop pests,2020,geology/environment
jennifer r. mammen; judith d. schoonmaker; james java; jill halterman; marc n. berliant; amber crowley; marina reznik; jonathan m. feldman; robert j. fortuna; sean m. frey; kelsey turgeon; ashley philibert; kimberly arcoleo,taylor & francis group,42 health sciences; 42 health sciences; 4203 health services and systems,going mobile with primary care: smartphone-telemedicine for asthma management in young urban adults (teams),2020,Math/physics/computerScience
meiling ying; sijiu wang; chen bai; yue li,public library of science,0,s1 data -,2020,scientific
daniel l. weller; tanzy m. t. love; alexandra belias; martin wiedmann,frontiers,"30 agricultural, veterinary and food sciences; 30 agricultural, veterinary and food sciences; 3006 food sciences; 31 biological sciences",table_1_predictive models may complement or provide an alternative to existing strategies for assessing the enteric pathogen contamination status of northeastern streams used to provide water for produce production.docx,2020,scientific
ji young hwang; aaron silva-sanchez; damian m. carragher; maria de la luz garcia-hernandez; javier rangel–moreno; troy d. randall,frontiers,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3204 immunology,data_sheet_1_inducible bronchus–associated lymphoid tissue (ibalt) attenuates pulmonary pathology in a mouse model of allergic airway disease.pdf,2020,scientific
martin schnell; monika goikoetxea; iban amenabar; p. scott carney; rainer hillenbrand,american chemical society,51 physical sciences; 51 physical sciences; 5108 quantum physics,"rapid infrared spectroscopic nanoimaging with nano-ftir
holography",2020,scientific
mohammad h. bawany; li ding; rajeev s. ramchandran; gaurav sharma; charles c. wykoff; ajay e. kuriyan,public library of science,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3212 ophthalmology and optometry,"individual values of best corrected visual acuity (bcva), central retinal thickness (crt), and vessel density for circular regions with different radii used for the correlation analysis presented in figs 4 and 5.",2020,scientific
ashkan ertefaie; dylan s. small; paul r. rosenbaum,taylor & francis group,38 economics; 49 mathematical sciences; 4905 statistics,quantitative evaluation of the trade-off of strengthened instruments and sample size in observational studies,2020,Math/physics/computerScience
shaorong yan; t. florian jaeger,taylor & francis group,52 psychology; 52 psychology; 5202 biological psychology; 5204 cognitive and computational psychology,expectation adaptation during natural reading,2020,Math/physics/computerScience
ying meng; barbara lohse; leslie cunningham-sabo,public library of science,0,s1 data -,2020,scientific
"matson, ellen",the cambridge structural database,0,ccdc 2022497: experimental crystal structure determination,2020,scientific
young-sik yoo; woong-joo whang; hyun-seung kim; choun-ki joo; geunyoung yoon,public library of science,40 engineering; 40 engineering; 4014 manufacturing engineering,parameters for femtosecond laser-assisted pretreatment.,2020,scientific
michaël lobet; iñigo liberal; erik n. knall; m. zahirul alam; orad reshef; robert w. boyd; nader engheta; eric mazur,american chemical society,51 physical sciences; 51 physical sciences; 5108 quantum physics,"fundamental radiative processes in near-zero-index
media of various dimensionalities",2020,scientific
xiaozhu wang; yogeshwar d. kelkar; xiao xiong; ellen o. martinson; jeremy lynch; chao zhang; john h werren; xu wang,genetics society of america (gsa),31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"supplemental material for wang et al., 2020",2020,medical/health
madison l. doolittle; gina m. calabrese; larry d. mesner; dana a. godfrey; robert d. maynard; cheryl l. ackert-bicknell; charles r. farber,public library of science,31 biological sciences; 3103 ecology; 32 biomedical and clinical sciences,s1 table -,2020,scientific
jinjiao wang; fang yu; xueya cai; thomas v. caprio; yue li,public library of science,0,sample characteristics.,2020,scientific
scientific data curation team,springer nature,32 biomedical and clinical sciences; 3202 clinical sciences; 37 earth sciences,metadata record for: multicenter dataset of multi-shell diffusion mri in healthy traveling adults with identical settings,2020,geology/environment
anna l. falkowski; jon a. jacobson; vivek kalia; nathaniel b. meyer; girish gandikota; matheos yosef; ralf g. thiele,public library of science,"40 engineering; 40 engineering; 4007 control engineering, mechatronics and robotics","the results for sensitivity, specificity, positive predictive value, negative predictive value, and accuracy for cartilage icing differentiating gout from cppd for each reader.",2020,scientific
rakkoo chung; shu-yin john leung; stephen n. abel; michael n. hatton; yanfang ren; jeffrey seiver; carol sloane; howard lavigne; travis o’donnell; laura o’shea,public library of science,0,dental patient characteristics.,2020,scientific
luis martinez-sobrido; pilar blanco-lobo; laura rodriguez; theresa fitzgerald; hanyuan zhang; phuong nguyen; christopher s. anderson; jeanne holden-wiltse; sanjukta bandyopadhyay; aitor nogales; marta l. dediego; brian r. wasik; benjamin l. miller; carole henry; patrick c. wilson; mark y. sangster; john j. treanor; david j. topham; lauren byrd-leotis; david a. steinhauer; richard d. cummings; jasmina m. luczo; stephen m. tompkins; kaori sakamoto; cheryl a. jones; john steel; anice c. lowen; shamika danzy; hui tao; ashley l. fink; sabra l. klein; nicholas wohlgemuth; katherine j. fenstermacher; farah el najjar; andrew pekosz; lauren sauer; mitra k. lewis; kathryn shaw-saliba; richard e. rothman; zhen-ying liu; kuan-fu chen; colin r. parrish; ian e. h. voorhees; yoshihiro kawaoka; gabriele neumann; shiho chiba; shufang fan; masato hatta; huihui kong; gongxun zhong; guojun wang; melissa b. uccellini; adolfo garcía-sastre; daniel r. perez; lucas m. ferreri; sander herfst; mathilde richard; ron fouchier; david burke; david pattinson; derek j. smith; victoria meliopoulos; pamela freiden; brandi livingston; bridgett sharp; sean cherry; juan carlos dib; guohua yang; charles j. russell; subrata barman; richard j. webby; scott krauss; angela danner; karlie woodard; malik peiris; r. a. p. m. perera; m. c. w. chan; elena a. govorkova; bindumadhav m. marathe; philippe n. q. pascua; gavin smith; yao-tsun li; paul g. thomas; stacey schultz-cherry,public library of science,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences; 3207 medical microbiology,characterizing emerging canine h3 influenza viruses,2020,scientific
adam kurkiewicz; anneli cooper; emily mcilwaine; sarah a. cumming; berit adam; ralf krahe; jack puymirat; benedikt schoser; lubov timchenko; tetsuo ashizawa; charles a. thornton; simon rogers; john d. mcclure; darren g. monckton,public library of science,31 biological sciences; 31 biological sciences; 3105 genetics,towards development of a statistical framework to evaluate myotonic dystrophy type 1 mrna biomarkers in the context of a clinical trial,2020,scientific
shanshan pei; daniel a. pollyea; annika gustafson; brett m. stevens; mohammad minhajuddin; rui fu; kent a. riemondy; austin e. gillen; ryan m. sheridan; jihye kim; james c. costello; maria l. amaya; anagha inguva; amanda winters; haobin ye; anna krug; courtney l. jones; biniam adane; nabilah khan; jessica ponder; jeffrey schowinsky; diana abbott; andrew hammes; jason r. myers; john m. ashton; travis nemkov; angelo dalessandro; jonathan a. gutman; haley e. ramsey; michael r. savona; clayton a. smith; craig t. jordan,american association for cancer research,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020,medical/health
"trail, dustin",mendeley,37 earth sciences; 37 earth sciences; 3703 geochemistry; 3705 geology,data for: si isotope fractionation between zircon and quartz,2020,general
xin wu; amelia r. i. lindsey; paramita chatterjee; john h. werren; richard stouthamer; soojin v. yi,public library of science,31 biological sciences; 31 biological sciences; 3105 genetics,distinct epigenomic and transcriptomic modifications associated with <i>wolbachia</i>-mediated asexuality,2020,scientific
shannon p hilchey; mukta g palshikar; jason a emo; dongmei li; jessica garigen; jiong wang; eric s mendelson; valentina cipolla; juilee thakar; martin s zand,springer nature,31 biological sciences; 3101 biochemistry and cell biology; 46 information and computing sciences,"additional file 2 of cyclosporine a directly affects human and mouse b cell migration in vitro by disrupting a hif-1 αdependent, o2 sensing, molecular switch",2020,geology/environment
michael e. sparks; raman bansal; joshua b. benoit; michael b. blackburn; hsu chao; mengyao chen; sammy cheng; christopher childers; huyen dinh; harsha vardhan doddapaneni; shannon dugan; elena n. elpidina; david w. farrow; markus friedrich; richard a. gibbs; brantley hall; yi han; richard w. hardy; christopher j. holmes; daniel s. t. hughes; panagiotis ioannidis; alys m. cheatle jarvela; j. spencer johnston; jeffery w. jones; brent a. kronmiller; faith kung; sandra l. lee; alexander g. martynov; patrick masterson; florian maumus; monica munoz-torres; shwetha c. murali; terence d. murphy; donna m. muzny; david r. nelson; brenda oppert; kristen a. panfilio; débora pires paula; leslie pick; monica f. poelchau; jiaxin qu; katie reding; joshua h. rhoades; adelaide rhodes; stephen richards; rose richter; hugh m. robertson; andrew j. rosendale; zhijian jake tu; arun s. velamuri; robert m. waterhouse; matthew t. weirauch; jackson t. wells; john h. werren; kim c. worley; evgeny m. zdobnov; dawn e. gundersen-rindal,springer nature,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020,geology/environment
lucas hemmer; guilherme dias; brittny smith; kelley vaerenberghe; ashley howard; casey bergman; justin blumenstiel,springer nature,31 biological sciences; 31 biological sciences; 3105 genetics,additional file 2 of hybrid dysgenesis in drosophila virilis results in clusters of mitotic recombination and loss-of-heterozygosity but leaves meiotic recombination unaltered,2020,geology/environment
bridget shovestul; jiayin han; laura germine; david dodell-feder,public library of science,42 health sciences; 42 health sciences; 4206 public health; 44 human society,risk factors for loneliness: the high relative importance of age versus other factors,2020,scientific
daniel weller; alexandra belias; hyatt green; sherry roof; martin wiedmann,frontiers,"30 agricultural, veterinary and food sciences; 30 agricultural, veterinary and food sciences; 3006 food sciences; 31 biological sciences; 31 biological sciences; 3107 microbiology","data_sheet_1_landscape, water quality, and weather factors associated with an increased likelihood of foodborne pathogen contamination of new york streams used to source water for produce production.docx",2020,scientific
alfredo rago; john h. werren; john k. colbourne,public library of science,31 biological sciences; 31 biological sciences; 3105 genetics,"sex biased expression and co-expression networks in development, using the hymenopteran <i>nasonia vitripennis</i>",2020,scientific
lei yang; yi yang; ming-ming liu; zhi-chao yan; li-ming qiu; qi fang; fang wang; john h. werren; gong-yin ye,frontiers,41 environmental sciences; 41 environmental sciences; 4103 environmental biotechnology,"table_3_identification and comparative analysis of venom proteins in a pupal ectoparasitoid, pachycrepoideus vindemmiae.xls",2020,scientific
nicole k. richards; elizabeth crockett; christopher p. morley; brooke a. levandowski,public library of science,32 biomedical and clinical sciences; 3215 reproductive medicine; 44 human society,demographic information on young women focus group participants.,2020,scientific
gregg thomas; elias dohmen; daniel hughes; shwetha murali; monica poelchau; karl glastad; clare anstead; nadia ayoub; phillip batterham; michelle bellair; greta binford; hsu chao; yolanda chen; christopher childers; huyen dinh; harsha doddapaneni; jian duan; shannon dugan; lauren esposito; markus friedrich; jessica garb; robin gasser; michael goodisman; dawn gundersen-rindal; yi han; alfred handler; masatsugu hatakeyama; lars hering; wayne hunter; panagiotis ioannidis; joy jayaseelan; divya kalra; abderrahman khila; pasi korhonen; carol lee; sandra lee; yiyuan li; amelia lindsey; georg mayer; alistair mcgregor; duane mckenna; bernhard misof; mala munidasa; monica munoz-torres; donna muzny; oliver niehuis; nkechinyere osuji-lacy; subba palli; kristen panfilio; matthias pechmann; trent perry; ralph peters; helen poynton; nikola-michael prpic; jiaxin qu; dorith rotenberg; coby schal; sean schoville; erin scully; evette skinner; daniel sloan; richard stouthamer; michael strand; nikolaus szucsich; asela wijeratne; neil young; eduardo zattara; joshua benoit; evgeny zdobnov; michael pfrender; kevin hackett; john werren; kim worley; richard gibbs; ariel chipman; robert waterhouse; erich bornberg-bauer; matthew hahn; stephen richards,springer nature,0,additional file 1. of gene content evolution in the arthropods,2020,geology/environment
lianna w. wat; charlotte chao; rachael bartlett; justin l. buchanan; jason w. millington; hui ju chih; zahid s. chowdhury; puja biswas; vivian huang; leah j. shin; lin chuan wang; marie-pierre l. gauthier; maria c. barone; kristi l. montooth; michael a. welte; elizabeth j. rideout,public library of science,0,details of the statistical analysis for all figures.,2020,scientific
xinkun ren; ajay l. chandgude; rudi fasan,american chemical society,34 chemical sciences; 34 chemical sciences; 3405 organic chemistry,"highly stereoselective synthesis of fused cyclopropane-γ-lactams
via biocatalytic iron-catalyzed intramolecular cyclopropanation",2020,scientific
"joshua
w. prybil; rodney wallace; alexandra warren; jordan klingman; romane vaillant; michael b. hall; xin yang; william w. brennessel; robert m. chin",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"silylation of pyridine, picolines, and quinoline with
a zinc catalyst",2020,scientific
rajeev s. ramchandran; sule yilmaz; evelyn greaux; ann dozier,public library of science,0,<i>participant characteristics (n = 23)</i>.,2020,scientific
jianbo zhao; scott d. kennedy; kyle d. berger; douglas h. turner,american chemical society,31 biological sciences; 3102 bioinformatics and computational biology; 34 chemical sciences,"nuclear magnetic resonance of single-stranded rnas
and dnas of caau and ucaauc as benchmarks for molecular dynamics simulations",2020,scientific
naim u. rashid; xianlu l. peng; chong jin; richard a. moffitt; keith e. volmar; brian a. belt; roheena z. panni; timothy m. nywening; silvia g. herrera; kristin j. moore; sarah g. hennessey; ashley b. morrison; ryan kawalerski; apoorve nayyar; audrey e. chang; benjamin schmidt; hong jin kim; david c. linehan; jen jen yeh,american association for cancer research,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3211 oncology and carcinogenesis,"supplementary table 6 from purity independent subtyping of tumors (purist), a clinically robust, single-sample classifier for tumor subtyping in pancreatic cancer",2020,medical/health
"kenworthy, m.a.; klaassen, p.d.; min, m.; van der marel, n.;  bohn; a. kama, m.; triaud, a.; hales, a.; monkiewicz, j.; scott, e.; mamajek, e.e.",strasbourg astronomical data center,0,alma and naco observations towards v1400 cen,2020,scientific
"xiaozhu wang; yogeshwar d. kelkar; xiong, xiao; martinson, ellen o.; lynch, jeremy; zhang, chao; werren, john h; wang, xu",genetics society of america (gsa),31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"supplemental material for wang et al., 2020",2020,medical/health
"vanderweide, andrew i.; brennessel, william w.; jones, william d.",the cambridge structural database,0,ccdc 1936433: experimental crystal structure determination,2020,scientific
"sears, jeffrey d.; sergentu, dumitru-claudiu; baker, tessa m.; brennessel, william w.; autschbach, jochen; neidig, michael l.",the cambridge structural database,0,ccdc 1995370: experimental crystal structure determination,2020,scientific
"abdul-rashed, shukree; alachouzos, georgios; brennessel, william w.; frontier, alison j.",the cambridge structural database,0,ccdc 1997680: experimental crystal structure determination,2020,scientific
"alachouzos, georgios; holt, connor; frontier, alison j.",the cambridge structural database,0,ccdc 1992272: experimental crystal structure determination,2020,scientific
"ritz, mikhaila d.; parsons, astrid m.; palermo, philip n.; jones, william d.",the cambridge structural database,0,ccdc 1971336: experimental crystal structure determination,2020,scientific
"prybil, joshua w.; wallace, rodney; warren, alexandra; klingman, jordan; vaillant, romane; hall, michael b.; yang, xin; brennessel, william w.; chin, robert m.",the cambridge structural database,0,ccdc 1980382: experimental crystal structure determination,2020,scientific
"schurr, bradley e.; nachtigall, olaf; vangelder, lauren e.; drappeau, justine; brennessel, william w.; matson, ellen m.",the cambridge structural database,0,ccdc 1980377: experimental crystal structure determination,2020,scientific
"petel, brittney e.; meyer, rachel l.; maiola, michela l.; brennessel, william w.; müller, astrid m.; matson, ellen m.",the cambridge structural database,0,ccdc 1954477: experimental crystal structure determination,2020,scientific
"kaltenegger, lisa; macdonald, ryan j.; kozakis, thea; lewis, nikole k.; mamajek, eric e.; mcdowell, jonathan c.; vanderburg, andrew",zenodo,51 physical sciences; 51 physical sciences; 5101 astronomical sciences,the white dwarf opportunity - supplementary material,2020,general
"ren, xinkun; liu, ningyu; chandgude, ajay l.; fasan, rudi",the cambridge structural database,0,ccdc 1998585: experimental crystal structure determination,2020,scientific
"meyer, rachel l.; anjass, montaha h.; petel, brittney e.; brennessel, william w.; streb, carsten; matson, ellen m.",the cambridge structural database,0,ccdc 1971659: experimental crystal structure determination,2020,scientific
"neate, peter g. n.; greenhalgh, mark d.; brennessel, william w.; thomas, stephen p.; neidig, michael l.",the cambridge structural database,0,ccdc 2002514: experimental crystal structure determination,2020,scientific
kate gfeller; ruth macmullen mallalieu; aleksander mansouri; gaelen mccormick; renee blue o’connell; jake spinowitz; bettina gellinek turner,frontiers,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences; 36 creative arts and writing; 36 creative arts and writing; 3603 music; 42 health sciences; 42 health sciences; 4201 allied health and rehabilitation science,data_sheet_1_practices and attitudes that enhance music engagement of adult cochlear implant users.pdf,2019,scientific
"brittney
e. petel; rachel l. meyer; michela l. maiola; william w. brennessel; astrid m. müller; ellen m. matson",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry; 3406 physical chemistry,"site-selective halogenation
of polyoxovanadate clusters:
atomically precise models for electronic effects of anion doping in
vo<sub>2</sub>",2019,scientific
sebastian e. rojas villa; fanju w. meng; benoît biteau,public library of science,31 biological sciences; 31 biological sciences; 3101 biochemistry and cell biology; 3105 genetics; 32 biomedical and clinical sciences,zfh2 controls progenitor cell activation and differentiation in the adult <i>drosophila</i> intestinal absorptive lineage,2019,scientific
pierre-antoine dessandier; chiara borrelli; dimitri kalenitchenko; giuliana panieri,frontiers,31 biological sciences; 31 biological sciences; 3103 ecology; 37 earth sciences; 37 earth sciences; 3702 climate change science; 3705 geology; 3709 physical geography and environmental geoscience,table_1_benthic foraminifera in arctic methane hydrate bearing sediments.xlsx,2019,scientific
kristen m. haut; david dodell-feder; erin guty; mor nahum; christine i. hooker,frontiers,46 information and computing sciences; 4608 human-centred computing; 52 psychology,table_1_change in objective measure of empathic accuracy following social cognitive training.pdf,2019,scientific
john q. bettinger; kevin a. welle; jennifer r. hryhorenko; sina ghaemmaghami,american chemical society,31 biological sciences; 34 chemical sciences; 3401 analytical chemistry,"quantitative analysis
of in vivo methionine oxidation
of the human proteome",2019,scientific
"devries, r.m.",mendeley,46 information and computing sciences; 46 information and computing sciences; 4601 applied computing,quasi-bound state wavefunctions,2019,general
shiyang  ma; michael p mcdermott,wiley,32 biomedical and clinical sciences; 49 mathematical sciences; 4905 statistics,dataset for: generalized multiple contrast tests in dose-response studies,2019,scientific
eric schreiber; niamh a. hartley; william w. brennessel; timothy r. cook; james r. mckone; ellen m. matson,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry; 3406 physical chemistry,"an organofunctionalized
polyoxovanadium cluster as a molecular model of interfacial pseudocapacitance",2019,scientific
seung pil bang; chang yeor yeon; nirpesh adhikari; sanjiv neupane; harim kim; dong cheol lee; myeong jin son; hyun gyo lee; jae-young kim; jong hwa jun,public library of science,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3212 ophthalmology and optometry,cyclosporine a eyedrops with self-nanoemulsifying drug delivery systems have improved physicochemical properties and efficacy against dry eye disease in a murine dry eye model,2019,scientific
thomas j. y. kono; chaochih liu; emily e. vonderharr; dan koenig; justin c. fay; kevin p. smith; peter l. morrell,genetics society of america (gsa),31 biological sciences; 31 biological sciences; 3105 genetics,"supplemental material for kono et al., 2019",2019,medical/health
wei qian; wending li; yasuhiro sogawa; ryohei fujimaki; xitong yang; ji liu,taylor & francis group,46 information and computing sciences; 46 information and computing sciences; 4603 computer vision and multimedia computation,an interactive greedy approach to group sparsity in high dimensions,2019,Math/physics/computerScience
kiley b. vander wyst; megan e. vercelli; kimberly o. o’brien; elizabeth m. cooper; eva k. pressman; corrie m. whisner,public library of science,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3210 nutrition and dietetics; 42 health sciences; 42 health sciences; 4206 public health,"a social media intervention to improve nutrition knowledge and behaviors of low income, pregnant adolescents and adult women",2019,scientific
cécile courret; ching-ho chang; kevin h.-c. wei; catherine montchamp-moreau; amanda m. larracuente,the royal society,31 biological sciences; 31 biological sciences; 3105 genetics; 32 biomedical and clinical sciences,table s1 from meiotic drive mechanisms: lessons from <i>drosophila</i>.,2019,scientific
cherlyn j. ng; dale purves,frontiers,32 biomedical and clinical sciences; 3212 ophthalmology and optometry; 50 philosophy and religious studies,table_1_an alternative theory of binocularity.pdf,2019,scientific
alison m. heffer; jacob proaño; elisa roztocil; richard p. phipps; steven e. feldon; krystel r. huxlin; patricia j. sime; richard t. libby; collynn f. woeller; ajay e. kuriyan,public library of science,31 biological sciences; 3101 biochemistry and cell biology; 32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3212 ophthalmology and optometry,the polyether ionophore salinomycin targets multiple cellular pathways to block proliferative vitreoretinopathy pathology,2019,scientific
"andrew
i. vanderweide; william w. brennessel; william d. jones",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"reversible concerted
metalation–deprotonation
c–h bond activation by cp*rhcl<sub>2</sub><sub>2</sub>",2019,scientific
xueying c. li; justin c. fay,genetics society of america (gsa),0,"supplemental material for li and fay, 2019",2019,medical/health
"stephanie
h. carpenter; william w. brennessel; michael l. neidig",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"isolation and characterization of a homoleptic tetramethylcobalt(iii)
distorted square-planar complex",2019,scientific
rohith palli; mukta g. palshikar; juilee thakar,public library of science,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology,executable pathway analysis using ensemble discrete-state modeling for large-scale data,2019,scientific
meher boorgula; margaret taub; nicholas rafaels; michelle daya; monica campbell; sameer chavan; aniket shetty; chris cheadle; sangjucta barkataki; jinshui fan; gloria david; terri beaty; ingo ruczinski; jon hanifin; lynda schneider; richard gallo; amy paller; lisa beck; donald leung; rasika mathias; kathleen barnes,springer nature,31 biological sciences; 31 biological sciences; 3105 genetics,additional file 2: of replicated methylation changes associated with eczema herpeticum and allergic response,2019,geology/environment
"valerie
e. fleischauer; gaurab ganguly; david h. woen; nikki j. wolford; william j. evans; jochen autschbach; michael l. neidig",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"insight into the electronic structure of formal lanthanide(ii)
complexes using magnetic circular
dichroism spectroscopy",2019,scientific
"theresa
e. boddie; stephanie h. carpenter; tessa m. baker; joshua c. demuth; gianpiero cera; william w. brennessel; lutz ackermann; michael l. neidig",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry; 3405 organic chemistry,"identification
and reactivity of cyclometalated iron(ii)
intermediates in triazole-directed iron-catalyzed c–h activation",2019,scientific
ying wan; xiaoyang liu; dongwang zheng; yuying wang; huan chen; xiaofeng zhao; guoqing liang; dongliang yu; lin gan,springer nature,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,additional file 1: of systematic identification of intergenic long-noncoding rnas in mouse retinas using full-length isoform sequencing,2019,geology/environment
américo h. lópez-yglesias; ellie camanzo; andrew t. martin; alessandra m. araujo; felix yarovinsky,public library of science,"30 agricultural, veterinary and food sciences; 30 agricultural, veterinary and food sciences; 3009 veterinary sciences",tlr11-independent inflammasome activation is critical for cd4+ t cell-derived ifn-γ production and host resistance to <i>toxoplasma gondii</i>,2019,scientific
emily sumner; erika deangelis; mara hyatt; noah goodman; celeste kidd,public library of science,52 psychology; 52 psychology; 5204 cognitive and computational psychology,cake or broccoli? recency biases children’s verbal responses,2019,scientific
tamara c. bidone; austin v. skeeters; patrick w. oakes; gregory a. voth,public library of science,31 biological sciences; 31 biological sciences; 3101 biochemistry and cell biology,multiscale model of integrin adhesion assembly,2019,scientific
"peter
g. n. neate; mark d. greenhalgh; william w. brennessel; stephen p. thomas; michael l. neidig",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry; 3405 organic chemistry,"mechanism
of the bis(imino)pyridine-iron-catalyzed
hydromagnesiation of styrene derivatives",2019,scientific
ajay l. chandgude; xinkun ren; rudi fasan,american chemical society,34 chemical sciences; 34 chemical sciences; 3405 organic chemistry,"stereodivergent
intramolecular cyclopropanation enabled
by engineered carbene transferases",2019,scientific
