,publisher,publisher_categories,author(s),title,publicationYear,keywords,tot_appearances,tot_pubYrs,tot_authors,tot_publishers
614,springer nature,geology/environment,thomas n. o’connor; jacob g. kallenbach; haley m. orciuoli; nicole d. paris; john f. bachman; carl j. johnston; eric hernady; jacqueline p. williams; robert t. dirksen; joe v. chakkalakal,additional file 1 of endurance exercise attenuates juvenile irradiation-induced skeletal muscle functional decline and mitochondrial stress,2022,42 health sciences,10,6,10,5
615,springer nature,geology/environment,thomas n. o’connor; jacob g. kallenbach; haley m. orciuoli; nicole d. paris; john f. bachman; carl j. johnston; eric hernady; jacqueline p. williams; robert t. dirksen; joe v. chakkalakal,additional file 1 of endurance exercise attenuates juvenile irradiation-induced skeletal muscle functional decline and mitochondrial stress,2022, 42 health sciences,25,11,25,6
617,frontiers,scientific,thomas w. johnson; irfaan a. dar; kelly l. donohue; yama y. xu; esmeralda santiago; olga selioutski; mark a. marinescu; ross k. maddox; tong tong wu; giovanni schifitto; igor gosev; regine choe; imad r. khan,data_sheet_1_cerebral blood flow hemispheric asymmetry in comatose adults receiving extracorporeal membrane oxygenation.docx,2022,32 biomedical and clinical sciences,119,14,119,13
618,frontiers,scientific,thomas w. johnson; irfaan a. dar; kelly l. donohue; yama y. xu; esmeralda santiago; olga selioutski; mark a. marinescu; ross k. maddox; tong tong wu; giovanni schifitto; igor gosev; regine choe; imad r. khan,data_sheet_1_cerebral blood flow hemispheric asymmetry in comatose adults receiving extracorporeal membrane oxygenation.docx,2022, 32 biomedical and clinical sciences,136,16,136,12
621,frontiers,scientific,yan zeng; ahmed fadaak; nora alomeir; tong tong wu; elena rustchenko; shuang qing; jianhang bao; christie gilbert; jin xiao,datasheet_1_lactobacillus plantarum disrupts s. mutans–c. albicans cross-kingdom biofilms.docx,2022,31 biological sciences,148,18,148,9
622,frontiers,scientific,yan zeng; ahmed fadaak; nora alomeir; tong tong wu; elena rustchenko; shuang qing; jianhang bao; christie gilbert; jin xiao,datasheet_1_lactobacillus plantarum disrupts s. mutans–c. albicans cross-kingdom biofilms.docx,2022, 31 biological sciences,123,17,123,10
624,frontiers,scientific,yan zeng; ahmed fadaak; nora alomeir; tong tong wu; elena rustchenko; shuang qing; jianhang bao; christie gilbert; jin xiao,datasheet_1_lactobacillus plantarum disrupts s. mutans–c. albicans cross-kingdom biofilms.docx,2022, 32 biomedical and clinical sciences,136,16,136,12
627,public library of science,scientific,shrilekha vedhakrishnan; maria vinas; clara benedi-garcia; pilar casado; susana marcos,individual refractive profile of the subjects of the two groups (young adults and presbyopes).,2022,32 biomedical and clinical sciences,119,14,119,13
628,public library of science,scientific,shrilekha vedhakrishnan; maria vinas; clara benedi-garcia; pilar casado; susana marcos,individual refractive profile of the subjects of the two groups (young adults and presbyopes).,2022, 42 health sciences,25,11,25,6
631,frontiers,scientific,christina crabtree-ide; nick sevdalis; patricia bellohusen; louis s. constine; fergal fleming; david holub; irfan rizvi; jennifer rodriguez; michelle shayne; nancy termer; ken tomaszewski; katia noyes,data_sheet_1_strategies for improving access to cancer services in rural communities: a pre-implementation study.docx,2022,32 biomedical and clinical sciences,119,14,119,13
632,frontiers,scientific,christina crabtree-ide; nick sevdalis; patricia bellohusen; louis s. constine; fergal fleming; david holub; irfan rizvi; jennifer rodriguez; michelle shayne; nancy termer; ken tomaszewski; katia noyes,data_sheet_1_strategies for improving access to cancer services in rural communities: a pre-implementation study.docx,2022, 32 biomedical and clinical sciences,136,16,136,12
634,frontiers,scientific,christina crabtree-ide; nick sevdalis; patricia bellohusen; louis s. constine; fergal fleming; david holub; irfan rizvi; jennifer rodriguez; michelle shayne; nancy termer; ken tomaszewski; katia noyes,data_sheet_1_strategies for improving access to cancer services in rural communities: a pre-implementation study.docx,2022, 42 health sciences,25,11,25,6
637,frontiers,scientific,abhishek saxena; david dodell-feder,data_sheet_1_explaining the association between urbanicity and psychotic-like experiences in pre-adolescence: the indirect effect of urban exposures.docx,2022,42 health sciences,10,6,10,5
638,frontiers,scientific,abhishek saxena; david dodell-feder,data_sheet_1_explaining the association between urbanicity and psychotic-like experiences in pre-adolescence: the indirect effect of urban exposures.docx,2022, 42 health sciences,25,11,25,6
641,frontiers,scientific,abhishek saxena; david dodell-feder,data_sheet_1_explaining the association between urbanicity and psychotic-like experiences in pre-adolescence: the indirect effect of urban exposures.docx,2022, 44 human society,17,13,17,6
644,the royal society,scientific,joana bessa; dora biro; kimberley hockings,"compilations of all camera trap from the five study communities in cantanhez national park from inter-community behavioural variation confirmed through indirect methods in four neighbouring chimpanzee communities in cantanhez np, guinea-bissau",2022,31 biological sciences,148,18,148,9
645,the royal society,scientific,joana bessa; dora biro; kimberley hockings,"compilations of all camera trap from the five study communities in cantanhez national park from inter-community behavioural variation confirmed through indirect methods in four neighbouring chimpanzee communities in cantanhez np, guinea-bissau",2022, 31 biological sciences,123,17,123,10
647,the royal society,scientific,joana bessa; dora biro; kimberley hockings,"compilations of all camera trap from the five study communities in cantanhez national park from inter-community behavioural variation confirmed through indirect methods in four neighbouring chimpanzee communities in cantanhez np, guinea-bissau",2022, 41 environmental sciences,9,8,9,5
648,the royal society,scientific,joana bessa; dora biro; kimberley hockings,"compilations of all camera trap from the five study communities in cantanhez national park from inter-community behavioural variation confirmed through indirect methods in four neighbouring chimpanzee communities in cantanhez np, guinea-bissau",2022, 44 human society,17,13,17,6
650,taylor & francis group,Math/physics/computerScience,zhengwu zhang; maxime descoteaux; david b. dunson,nonparametric bayes models of fiber curves connecting brain regions,2022,49 mathematical sciences,4,3,4,2
652,taylor & francis group,Math/physics/computerScience,zhengwu zhang; maxime descoteaux; david b. dunson,nonparametric bayes models of fiber curves connecting brain regions,2022, 51 physical sciences,15,10,15,8
657,american chemical society,scientific,jianbo zhao; scott d. kennedy; douglas h. turner,"nuclear magnetic resonance spectra and amber ol3 and
roc-rna simulations of ucucgu reveal force field strengths and weaknesses
for single-stranded rna",2022,34 chemical sciences,244,28,244,4
658,american chemical society,scientific,jianbo zhao; scott d. kennedy; douglas h. turner,"nuclear magnetic resonance spectra and amber ol3 and
roc-rna simulations of ucucgu reveal force field strengths and weaknesses
for single-stranded rna",2022, 34 chemical sciences,249,28,249,4
660,public library of science,scientific,nicole k. richards; christopher p. morley; martha a. wojtowycz; erin bevec; brooke a. levandowski,"original and recoded postpartum contraception behavior (<i>n =</i> 31,208) and reasons for nonuse among prams phase vii (2012) respondents.",2022,32 biomedical and clinical sciences,119,14,119,13
661,public library of science,scientific,nicole k. richards; christopher p. morley; martha a. wojtowycz; erin bevec; brooke a. levandowski,"original and recoded postpartum contraception behavior (<i>n =</i> 31,208) and reasons for nonuse among prams phase vii (2012) respondents.",2022, 32 biomedical and clinical sciences,136,16,136,12
662,public library of science,scientific,nicole k. richards; christopher p. morley; martha a. wojtowycz; erin bevec; brooke a. levandowski,"original and recoded postpartum contraception behavior (<i>n =</i> 31,208) and reasons for nonuse among prams phase vii (2012) respondents.",2022, 3215 reproductive medicine,3,3,3,1
682,public library of science,scientific,soroush besharat; hanna grol-prokopczyk; shan gao; changyong feng; frank akwaa; jennifer s. gewandter,"demographic and clinical characteristics (age 51+, 2016 hrs wave).",2021, 44 human society,17,13,17,6
686,frontiers,scientific,kaixian yu; zihan cui; xin sui; xing qiu; jinfeng zhang,datasheet1_biological network inference with grasp: a bayesian network structure learning method using adaptive sequential monte carlo.docx,2021,46 information and computing sciences,15,6,15,5
687,frontiers,scientific,kaixian yu; zihan cui; xin sui; xing qiu; jinfeng zhang,datasheet1_biological network inference with grasp: a bayesian network structure learning method using adaptive sequential monte carlo.docx,2021, 46 information and computing sciences,19,9,19,5
688,frontiers,scientific,kaixian yu; zihan cui; xin sui; xing qiu; jinfeng zhang,datasheet1_biological network inference with grasp: a bayesian network structure learning method using adaptive sequential monte carlo.docx,2021, 4611 machine learning,5,5,5,3
689,american association for cancer research,medical/health,ai lin; ping ji; xiangjie niu; xuan zhao; yamei chen; weiling liu; yachen liu; wenyi fan; yanxia sun; chuanwang miao; shaosen zhang; wen tan; dongxin lin; eric j. wagner; chen wu,table s6 from cstf64-induced shortening of the <i>bid</i> 3′utr promotes esophageal squamous cell carcinoma progression by disrupting cerna cross-talk with <i>zfp36l2</i>,2021,32 biomedical and clinical sciences,119,14,119,13
690,american association for cancer research,medical/health,ai lin; ping ji; xiangjie niu; xuan zhao; yamei chen; weiling liu; yachen liu; wenyi fan; yanxia sun; chuanwang miao; shaosen zhang; wen tan; dongxin lin; eric j. wagner; chen wu,table s6 from cstf64-induced shortening of the <i>bid</i> 3′utr promotes esophageal squamous cell carcinoma progression by disrupting cerna cross-talk with <i>zfp36l2</i>,2021, 32 biomedical and clinical sciences,136,16,136,12
691,american association for cancer research,medical/health,ai lin; ping ji; xiangjie niu; xuan zhao; yamei chen; weiling liu; yachen liu; wenyi fan; yanxia sun; chuanwang miao; shaosen zhang; wen tan; dongxin lin; eric j. wagner; chen wu,table s6 from cstf64-induced shortening of the <i>bid</i> 3′utr promotes esophageal squamous cell carcinoma progression by disrupting cerna cross-talk with <i>zfp36l2</i>,2021, 3211 oncology and carcinogenesis,8,7,8,5
692,frontiers,scientific,xiao xiong; yogeshwar d kelkar; chris j geden; chao zhang; yidong wang; evelien jongepier; ellen o. martinson; eveline c verhulst; jürgen gadau; john h werren; xu wang,"datasheet2_long-read assembly and annotation of the parasitoid wasp muscidifurax raptorellus, a biological control agent for filth flies.pdf",2021,31 biological sciences,148,18,148,9
693,frontiers,scientific,xiao xiong; yogeshwar d kelkar; chris j geden; chao zhang; yidong wang; evelien jongepier; ellen o. martinson; eveline c verhulst; jürgen gadau; john h werren; xu wang,"datasheet2_long-read assembly and annotation of the parasitoid wasp muscidifurax raptorellus, a biological control agent for filth flies.pdf",2021, 31 biological sciences,123,17,123,10
695,frontiers,scientific,xiao xiong; yogeshwar d kelkar; chris j geden; chao zhang; yidong wang; evelien jongepier; ellen o. martinson; eveline c verhulst; jürgen gadau; john h werren; xu wang,"datasheet2_long-read assembly and annotation of the parasitoid wasp muscidifurax raptorellus, a biological control agent for filth flies.pdf",2021, 41 environmental sciences,9,8,9,5
698,frontiers,scientific,alan finkelstein; abrar faiyaz; miriam t. weber; xing qiu; md nasir uddin; jianhui zhong; giovanni schifitto,table_1_fixel-based analysis and free water corrected dti evaluation of hiv-associated neurocognitive disorders.docx,2021,32 biomedical and clinical sciences,119,14,119,13
699,frontiers,scientific,alan finkelstein; abrar faiyaz; miriam t. weber; xing qiu; md nasir uddin; jianhui zhong; giovanni schifitto,table_1_fixel-based analysis and free water corrected dti evaluation of hiv-associated neurocognitive disorders.docx,2021, 32 biomedical and clinical sciences,136,16,136,12
704,frontiers,scientific,dawling a. dionisio-santos; berke karaahmet; elizabeth k. belcher; laura d. owlett; lee a. trojanczyk; john a. olschowka; m. kerry o’banion,data_sheet_1_evaluating effects of glatiramer acetate treatment on amyloid deposition and tau phosphorylation in the 3xtg mouse model of alzheimer’s disease.pdf,2021,31 biological sciences,148,18,148,9
705,frontiers,scientific,dawling a. dionisio-santos; berke karaahmet; elizabeth k. belcher; laura d. owlett; lee a. trojanczyk; john a. olschowka; m. kerry o’banion,data_sheet_1_evaluating effects of glatiramer acetate treatment on amyloid deposition and tau phosphorylation in the 3xtg mouse model of alzheimer’s disease.pdf,2021, 31 biological sciences,123,17,123,10
708,frontiers,scientific,thomas hörberg; t. florian jaeger,data_sheet_1_a rational model of incremental argument interpretation: the comprehension of swedish transitive clauses.pdf,2021,47 language,5,4,5,2
709,frontiers,scientific,thomas hörberg; t. florian jaeger,data_sheet_1_a rational model of incremental argument interpretation: the comprehension of swedish transitive clauses.pdf,2021, communication and culture,7,5,7,3
710,frontiers,scientific,thomas hörberg; t. florian jaeger,data_sheet_1_a rational model of incremental argument interpretation: the comprehension of swedish transitive clauses.pdf,2021, 47 language,5,3,5,2
713,frontiers,scientific,thomas hörberg; t. florian jaeger,data_sheet_1_a rational model of incremental argument interpretation: the comprehension of swedish transitive clauses.pdf,2021, 52 psychology,33,13,33,5
717,frontiers,scientific,antti e. seppo; rakin choudhury; catherine pizzarello; rohith palli; sade fridy; puja sood rajani; jessica stern; camille martina; chloe yonemitsu; lars bode; kevin bu; sabrina tamburini; enrica piras; david s. wallach; maria allen; r. john looney; jose c. clemente; juilee thakar; kirsi m. järvinen,table_2_traditional farming lifestyle in old older mennonites modulates human milk composition.docx,2021,32 biomedical and clinical sciences,119,14,119,13
718,frontiers,scientific,antti e. seppo; rakin choudhury; catherine pizzarello; rohith palli; sade fridy; puja sood rajani; jessica stern; camille martina; chloe yonemitsu; lars bode; kevin bu; sabrina tamburini; enrica piras; david s. wallach; maria allen; r. john looney; jose c. clemente; juilee thakar; kirsi m. järvinen,table_2_traditional farming lifestyle in old older mennonites modulates human milk composition.docx,2021, 32 biomedical and clinical sciences,136,16,136,12
720,sage journals,scientific,christine massie; keren chen; andrew j. berger,sj-zip-1-asp-10.1177_00037028211046643 - supplemental material for calibration technique for suppressing residual etalon artifacts in slit-averaged raman spectroscopy,2021,37 earth sciences,16,9,16,6
723,taylor & francis group,Math/physics/computerScience,andres f. rodriguez-corcho; yamirka rojas-agramonte; johana a. barrera-gonzalez; maria p. marroquin-gomez; sarah bonilla-correa; david izquierdo-camacho; sofia m. delgado-balaguera; david cartwright-buitrago; maria d. muñoz-granados; william g. carantón-mateus; alejandro corrales-garcía; andrés f. laverde-martinez; aura cuervo-gómez; marco a. rodriguez-ruiz; juan p. marin-jaramillo; nicole salazar-cuellar; laura c. esquivel-arenales; maria e. daroca; a. sofía carvajal; ana m. perea-pescador; juan d. solano-acosta; sergio diaz; alejandro guillen; german bayona; agustín cardona-molina; bruce eglington; camilo montes,the colombian geochronological database (cgd),2021,37 earth sciences,16,9,16,6
724,taylor & francis group,Math/physics/computerScience,andres f. rodriguez-corcho; yamirka rojas-agramonte; johana a. barrera-gonzalez; maria p. marroquin-gomez; sarah bonilla-correa; david izquierdo-camacho; sofia m. delgado-balaguera; david cartwright-buitrago; maria d. muñoz-granados; william g. carantón-mateus; alejandro corrales-garcía; andrés f. laverde-martinez; aura cuervo-gómez; marco a. rodriguez-ruiz; juan p. marin-jaramillo; nicole salazar-cuellar; laura c. esquivel-arenales; maria e. daroca; a. sofía carvajal; ana m. perea-pescador; juan d. solano-acosta; sergio diaz; alejandro guillen; german bayona; agustín cardona-molina; bruce eglington; camilo montes,the colombian geochronological database (cgd),2021, 37 earth sciences,18,9,18,6
729,american chemical society,scientific,olaf nachtigall; andrew i. vanderweide; william w. brennessel; william d. jones,"an iron-based dehydration catalyst for selective formation
of styrene",2021,34 chemical sciences,244,28,244,4
730,american chemical society,scientific,olaf nachtigall; andrew i. vanderweide; william w. brennessel; william d. jones,"an iron-based dehydration catalyst for selective formation
of styrene",2021, 34 chemical sciences,249,28,249,4
733,frontiers,scientific,alexandra belias; natalie brassill; sherry roof; channah rock; martin wiedmann; daniel weller,data_sheet_1_cross-validation indicates predictive models may provide an alternative to indicator organism monitoring for evaluating pathogen presence in southwestern us agricultural water.docx,2021,31 biological sciences,148,18,148,9
734,frontiers,scientific,alexandra belias; natalie brassill; sherry roof; channah rock; martin wiedmann; daniel weller,data_sheet_1_cross-validation indicates predictive models may provide an alternative to indicator organism monitoring for evaluating pathogen presence in southwestern us agricultural water.docx,2021, 31 biological sciences,123,17,123,10
736,frontiers,scientific,taylor kohut; kiersten a. dobson; rhonda n. balzarini; ronald d. rogge; amanda m. shaw; james k. mcnulty; v. michelle russell; william a. fisher; lorne campbell,data_sheet_2_but what’s your partner up to? associations between relationship quality and pornography use depend on contextual patterns of use within the couple.docx,2021,44 human society,7,7,7,4
737,frontiers,scientific,taylor kohut; kiersten a. dobson; rhonda n. balzarini; ronald d. rogge; amanda m. shaw; james k. mcnulty; v. michelle russell; william a. fisher; lorne campbell,data_sheet_2_but what’s your partner up to? associations between relationship quality and pornography use depend on contextual patterns of use within the couple.docx,2021, 52 psychology,33,13,33,5
739,springer nature,geology/environment,nazish n. jeffery; christina davidson; scott a. peslak; paul d. kingsley; yukio nakamura; james palis; michael bulger,additional file 1 of histone h2a.x phosphorylation and caspase-initiated chromatin condensation in late-stage erythropoiesis,2021,31 biological sciences,148,18,148,9
740,springer nature,geology/environment,nazish n. jeffery; christina davidson; scott a. peslak; paul d. kingsley; yukio nakamura; james palis; michael bulger,additional file 1 of histone h2a.x phosphorylation and caspase-initiated chromatin condensation in late-stage erythropoiesis,2021, 31 biological sciences,123,17,123,10
743,springer nature,geology/environment,yi yang; xinhai ye; cong dang; yunshen cao; rui hong; yu h. sun; shan xiao; yang mei; le xu; qi fang; huamei xiao; fei li; gongyin ye,additional file 1 of genome of the pincer wasp gonatopus flavifemur reveals unique venom evolution and a dual adaptation to parasitism and predation,2021,31 biological sciences,148,18,148,9
744,springer nature,geology/environment,yi yang; xinhai ye; cong dang; yunshen cao; rui hong; yu h. sun; shan xiao; yang mei; le xu; qi fang; huamei xiao; fei li; gongyin ye,additional file 1 of genome of the pincer wasp gonatopus flavifemur reveals unique venom evolution and a dual adaptation to parasitism and predation,2021, 31 biological sciences,123,17,123,10
747,springer nature,geology/environment,roxana coras; arthur kavanaugh; angela kluzniak; dustina holt; amy weilgosz; armando aaron; oswald quehenberger; christopher ritchlin; monica guma,additional file 2 of differences in oxylipin profile in psoriasis versus psoriatic arthritis,2021,32 biomedical and clinical sciences,119,14,119,13
748,springer nature,geology/environment,roxana coras; arthur kavanaugh; angela kluzniak; dustina holt; amy weilgosz; armando aaron; oswald quehenberger; christopher ritchlin; monica guma,additional file 2 of differences in oxylipin profile in psoriasis versus psoriatic arthritis,2021, 32 biomedical and clinical sciences,136,16,136,12
750,frontiers,scientific,david a. paul; emma strawderman; alejandra rodriguez; ricky hoang; colleen l. schneider; sam haber; benjamin l. chernoff; ismat shafiq; zoë r. williams; g. edward vates; bradford z. mahon,data_sheet_1_empty sella syndrome as a window into the neuroprotective effects of prolactin.pdf,2021,32 biomedical and clinical sciences,119,14,119,13
751,frontiers,scientific,david a. paul; emma strawderman; alejandra rodriguez; ricky hoang; colleen l. schneider; sam haber; benjamin l. chernoff; ismat shafiq; zoë r. williams; g. edward vates; bradford z. mahon,data_sheet_1_empty sella syndrome as a window into the neuroprotective effects of prolactin.pdf,2021, 32 biomedical and clinical sciences,136,16,136,12
752,frontiers,scientific,david a. paul; emma strawderman; alejandra rodriguez; ricky hoang; colleen l. schneider; sam haber; benjamin l. chernoff; ismat shafiq; zoë r. williams; g. edward vates; bradford z. mahon,data_sheet_1_empty sella syndrome as a window into the neuroprotective effects of prolactin.pdf,2021, 3212 ophthalmology and optometry,13,8,13,2
753,public library of science,scientific,marion herbette; xiaolu wei; ching-ho chang; amanda m. larracuente; benjamin loppin; raphaëlle dubruille,segregation distortion levels.,2021,31 biological sciences,148,18,148,9
754,public library of science,scientific,marion herbette; xiaolu wei; ching-ho chang; amanda m. larracuente; benjamin loppin; raphaëlle dubruille,segregation distortion levels.,2021, 31 biological sciences,123,17,123,10
757,frontiers,scientific,daniel lowell weller; tanzy m. t. love; martin wiedmann,datasheet1_comparison of resampling algorithms to address class imbalance when developing machine learning models to predict foodborne pathogen presence in agricultural water.docx,2021, veterinary and food sciences,11,8,11,3
761,frontiers,scientific,daniel lowell weller; tanzy m. t. love; martin wiedmann,datasheet1_comparison of resampling algorithms to address class imbalance when developing machine learning models to predict foodborne pathogen presence in agricultural water.docx,2021, 31 biological sciences,123,17,123,10
763,public library of science,scientific,reza yousefi nooraie; keith warren; lisa a. juckett; qiuchang a. cao; alicia c. bunger; michele a. patak-pietrafesa,"study characteristics, elements of network-building interventions, and main outcome measures.",2021,52 psychology,9,8,9,3
764,public library of science,scientific,reza yousefi nooraie; keith warren; lisa a. juckett; qiuchang a. cao; alicia c. bunger; michele a. patak-pietrafesa,"study characteristics, elements of network-building interventions, and main outcome measures.",2021, 52 psychology,33,13,33,5
766,mendeley,general,"collaboration, icecube",leptoninjector and leptonweighter: a neutrino event generator and weighter for neutrino observatories,2021,46 information and computing sciences,15,6,15,5
767,mendeley,general,"collaboration, icecube",leptoninjector and leptonweighter: a neutrino event generator and weighter for neutrino observatories,2021, 46 information and computing sciences,19,9,19,5
769,mendeley,general,"collaboration, icecube",leptoninjector and leptonweighter: a neutrino event generator and weighter for neutrino observatories,2021, 51 physical sciences,15,10,15,8
773,future science group,scientific,annie philip; mark william; jenae davis; avinash beeram; changyong feng; joseph poli; alexis vangellow; jennifer gewandter,supplementary table 1: evaluating predictors of pain reduction after genicular nerve radiofrequency ablation for chronic knee pain,2021,32 biomedical and clinical sciences,119,14,119,13
774,future science group,scientific,annie philip; mark william; jenae davis; avinash beeram; changyong feng; joseph poli; alexis vangellow; jennifer gewandter,supplementary table 1: evaluating predictors of pain reduction after genicular nerve radiofrequency ablation for chronic knee pain,2021, 32 biomedical and clinical sciences,136,16,136,12
777,zenodo,general,"shogren, elsie h.; boyle, w. alice",spread the word: male manakins advertise the presence of display sites with neighbouring competitors,2021,31 biological sciences,148,18,148,9
778,zenodo,general,"shogren, elsie h.; boyle, w. alice",spread the word: male manakins advertise the presence of display sites with neighbouring competitors,2021, 31 biological sciences,123,17,123,10
783,public library of science,scientific,dongliang wang; xueya cai,"a simulated data set with <i>n</i> = 30 from <i>f</i><sub>0</sub> ∼ normal(0, 1) and <i>f</i><sub>0</sub> ∼ normal(1, 1), respectively.",2021,31 biological sciences,148,18,148,9
784,public library of science,scientific,dongliang wang; xueya cai,"a simulated data set with <i>n</i> = 30 from <i>f</i><sub>0</sub> ∼ normal(0, 1) and <i>f</i><sub>0</sub> ∼ normal(1, 1), respectively.",2021, 31 biological sciences,123,17,123,10
786,frontiers,scientific,daniel l. weller; tanzy m. t. love; martin wiedmann,"datasheet1_interpretability versus accuracy: a comparison of machine learning models built using different algorithms, performance measures, and features to predict e. coli levels in agricultural water.docx",2021,31 biological sciences,148,18,148,9
787,frontiers,scientific,daniel l. weller; tanzy m. t. love; martin wiedmann,"datasheet1_interpretability versus accuracy: a comparison of machine learning models built using different algorithms, performance measures, and features to predict e. coli levels in agricultural water.docx",2021, 38 economics,18,12,18,4
789,karger publishers,medical/health,taqi m.a.; raz e.; vechera a.; shapiro m.; gupta r.; haynes j.; taussky p.; grandhi r.; riina h.a.; nelson p.k.; nossek e.,"supplementary material for: early experience with comaneci, a newly fda-approved controllable assist device for wide-necked intracranial aneurysm coiling",2021,32 biomedical and clinical sciences,119,14,119,13
790,karger publishers,medical/health,taqi m.a.; raz e.; vechera a.; shapiro m.; gupta r.; haynes j.; taussky p.; grandhi r.; riina h.a.; nelson p.k.; nossek e.,"supplementary material for: early experience with comaneci, a newly fda-approved controllable assist device for wide-necked intracranial aneurysm coiling",2021, 32 biomedical and clinical sciences,136,16,136,12
793,american chemical society,scientific,hanan alwaseem; simone giovani; michele crotti; kevin welle; craig t. jordan; sina ghaemmaghami; rudi fasan,"comprehensive structure–activity profiling
of micheliolide and its targeted proteome in leukemia cells via probe-guided
late-stage c–h functionalization",2021,34 chemical sciences,244,28,244,4
794,american chemical society,scientific,hanan alwaseem; simone giovani; michele crotti; kevin welle; craig t. jordan; sina ghaemmaghami; rudi fasan,"comprehensive structure–activity profiling
of micheliolide and its targeted proteome in leukemia cells via probe-guided
late-stage c–h functionalization",2021, 34 chemical sciences,249,28,249,4
798,mendeley,general,"king, deborah",data for: initial contact and toe off event identification for treadmill running at different speeds,2021,42 health sciences,10,6,10,5
799,mendeley,general,"king, deborah",data for: initial contact and toe off event identification for treadmill running at different speeds,2021, 42 health sciences,25,11,25,6
802,mendeley,general,"roshan, saeed; wu, jingfeng",data for: reversible scavenging traps hydrothermal iron in the deep ocean,2021,37 earth sciences,16,9,16,6
803,mendeley,general,"roshan, saeed; wu, jingfeng",data for: reversible scavenging traps hydrothermal iron in the deep ocean,2021, 37 earth sciences,18,9,18,6
805,public library of science,scientific,rahul khairnar; stephanie l. pugh; howard m. sandler; w. robert lee; ester villalonga olives; c. daniel mullins; francis b. palumbo; deborah w. bruner; fadia t. shaya; soren m. bentzen; amit b. shah; shawn c. malone; jeff m. michalski; ian s. dayes; samantha a. seaward; michele albert; adam d. currey; thomas m. pisansky; yuhchyau chen; eric m. horwitz; albert s. denittis; felix y. feng; mark v. mishra,distribution plot of eq5d in the estimation cohorts.,2021,47 language,5,4,5,2
806,public library of science,scientific,rahul khairnar; stephanie l. pugh; howard m. sandler; w. robert lee; ester villalonga olives; c. daniel mullins; francis b. palumbo; deborah w. bruner; fadia t. shaya; soren m. bentzen; amit b. shah; shawn c. malone; jeff m. michalski; ian s. dayes; samantha a. seaward; michele albert; adam d. currey; thomas m. pisansky; yuhchyau chen; eric m. horwitz; albert s. denittis; felix y. feng; mark v. mishra,distribution plot of eq5d in the estimation cohorts.,2021, communication and culture,7,5,7,3
807,public library of science,scientific,rahul khairnar; stephanie l. pugh; howard m. sandler; w. robert lee; ester villalonga olives; c. daniel mullins; francis b. palumbo; deborah w. bruner; fadia t. shaya; soren m. bentzen; amit b. shah; shawn c. malone; jeff m. michalski; ian s. dayes; samantha a. seaward; michele albert; adam d. currey; thomas m. pisansky; yuhchyau chen; eric m. horwitz; albert s. denittis; felix y. feng; mark v. mishra,distribution plot of eq5d in the estimation cohorts.,2021, 47 language,5,3,5,2
810,zenodo,general,"pisciotta, chiara; pareyson, davide; saveri, paola; fenu, silvia","dataset related to article ""validation of the italian version of the charcot-marie-tooth health index""",2021,32 biomedical and clinical sciences,119,14,119,13
812,zenodo,general,"pisciotta, chiara; pareyson, davide; saveri, paola; fenu, silvia","dataset related to article ""validation of the italian version of the charcot-marie-tooth health index""",2021, 36 creative arts and writing,5,4,5,4
813,frontiers,scientific,joana bessa; kimberley hockings; dora biro,"data_sheet_1_first evidence of chimpanzee extractive tool use in cantanhez, guinea-bissau: cross-community variation in honey dipping.docx",2021,43 history,3,3,3,3
814,frontiers,scientific,joana bessa; kimberley hockings; dora biro,"data_sheet_1_first evidence of chimpanzee extractive tool use in cantanhez, guinea-bissau: cross-community variation in honey dipping.docx",2021, heritage and archaeology,4,4,4,3
815,frontiers,scientific,joana bessa; kimberley hockings; dora biro,"data_sheet_1_first evidence of chimpanzee extractive tool use in cantanhez, guinea-bissau: cross-community variation in honey dipping.docx",2021, 43 history,3,3,3,3
818,frontiers,scientific,joana bessa; kimberley hockings; dora biro,"data_sheet_1_first evidence of chimpanzee extractive tool use in cantanhez, guinea-bissau: cross-community variation in honey dipping.docx",2021, 44 human society,17,13,17,6
820,american chemical society,scientific,raheel ahmad; christin kleineberg; vahid nasirimarekani; yu-jung su; samira goli pozveh; albert bae; kai sundmacher; eberhard bodenschatz; isabella guido; tanja vidaković-koch; azam gholami,"light-powered reactivation of flagella and contraction
of microtubule networks: toward building an artificial cell",2021,31 biological sciences,148,18,148,9
821,american chemical society,scientific,raheel ahmad; christin kleineberg; vahid nasirimarekani; yu-jung su; samira goli pozveh; albert bae; kai sundmacher; eberhard bodenschatz; isabella guido; tanja vidaković-koch; azam gholami,"light-powered reactivation of flagella and contraction
of microtubule networks: toward building an artificial cell",2021, 31 biological sciences,123,17,123,10
823,american chemical society,scientific,raheel ahmad; christin kleineberg; vahid nasirimarekani; yu-jung su; samira goli pozveh; albert bae; kai sundmacher; eberhard bodenschatz; isabella guido; tanja vidaković-koch; azam gholami,"light-powered reactivation of flagella and contraction
of microtubule networks: toward building an artificial cell",2021, 34 chemical sciences,249,28,249,4
