,publisher,publisher_categories,keywords,title,publicationYear,author(s),tot_appearances,tot_pubYrs,tot_keywords,tot_publishers
2145,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, annika gustafson,1,1,1,1
2146,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, brett m. stevens,1,1,1,1
2147,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, mohammad minhajuddin,1,1,1,1
2148,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, rui fu,1,1,1,1
2149,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, kent a. riemondy,1,1,1,1
2150,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, austin e. gillen,1,1,1,1
2151,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, ryan m. sheridan,1,1,1,1
2152,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, jihye kim,1,1,1,1
2153,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, james c. costello,1,1,1,1
2154,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, maria l. amaya,1,1,1,1
2155,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, anagha inguva,1,1,1,1
2156,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, amanda winters,1,1,1,1
2157,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, haobin ye,1,1,1,1
2158,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, anna krug,1,1,1,1
2159,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, courtney l. jones,1,1,1,1
2160,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, biniam adane,1,1,1,1
2161,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, nabilah khan,1,1,1,1
2162,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, jessica ponder,1,1,1,1
2163,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, jeffrey schowinsky,1,1,1,1
2164,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, diana abbott,1,1,1,1
2165,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, andrew hammes,1,1,1,1
2166,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, jason r. myers,2,2,2,2
2167,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, john m. ashton,4,3,4,3
2168,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, travis nemkov,1,1,1,1
2169,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, angelo dalessandro,1,1,1,1
2170,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, jonathan a. gutman,1,1,1,1
2171,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, haley e. ramsey,1,1,1,1
2172,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, michael r. savona,1,1,1,1
2173,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, clayton a. smith,1,1,1,1
2174,american association for cancer research,medical/health,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,supplementary tables s1-s6 from monocytic subclones confer resistance to venetoclax-based therapy in patients with acute myeloid leukemia,2020, craig t. jordan,3,3,3,3
2175,mendeley,general,37 earth sciences; 37 earth sciences; 3703 geochemistry; 3705 geology,data for: si isotope fractionation between zircon and quartz,2020,"trail, dustin",1,1,1,1
2176,public library of science,scientific,31 biological sciences; 31 biological sciences; 3105 genetics,distinct epigenomic and transcriptomic modifications associated with <i>wolbachia</i>-mediated asexuality,2020,xin wu,1,1,1,1
2177,public library of science,scientific,31 biological sciences; 31 biological sciences; 3105 genetics,distinct epigenomic and transcriptomic modifications associated with <i>wolbachia</i>-mediated asexuality,2020, amelia r. i. lindsey,1,1,1,1
2178,public library of science,scientific,31 biological sciences; 31 biological sciences; 3105 genetics,distinct epigenomic and transcriptomic modifications associated with <i>wolbachia</i>-mediated asexuality,2020, paramita chatterjee,1,1,1,1
2179,public library of science,scientific,31 biological sciences; 31 biological sciences; 3105 genetics,distinct epigenomic and transcriptomic modifications associated with <i>wolbachia</i>-mediated asexuality,2020, john h. werren,21,12,10,5
2180,public library of science,scientific,31 biological sciences; 31 biological sciences; 3105 genetics,distinct epigenomic and transcriptomic modifications associated with <i>wolbachia</i>-mediated asexuality,2020, richard stouthamer,3,2,3,2
2181,public library of science,scientific,31 biological sciences; 31 biological sciences; 3105 genetics,distinct epigenomic and transcriptomic modifications associated with <i>wolbachia</i>-mediated asexuality,2020, soojin v. yi,1,1,1,1
2182,springer nature,geology/environment,31 biological sciences; 3101 biochemistry and cell biology; 46 information and computing sciences,"additional file 2 of cyclosporine a directly affects human and mouse b cell migration in vitro by disrupting a hif-1 αdependent, o2 sensing, molecular switch",2020,shannon p hilchey,1,1,1,1
2183,springer nature,geology/environment,31 biological sciences; 3101 biochemistry and cell biology; 46 information and computing sciences,"additional file 2 of cyclosporine a directly affects human and mouse b cell migration in vitro by disrupting a hif-1 αdependent, o2 sensing, molecular switch",2020, mukta g palshikar,1,1,1,1
2184,springer nature,geology/environment,31 biological sciences; 3101 biochemistry and cell biology; 46 information and computing sciences,"additional file 2 of cyclosporine a directly affects human and mouse b cell migration in vitro by disrupting a hif-1 αdependent, o2 sensing, molecular switch",2020, jason a emo,1,1,1,1
2185,springer nature,geology/environment,31 biological sciences; 3101 biochemistry and cell biology; 46 information and computing sciences,"additional file 2 of cyclosporine a directly affects human and mouse b cell migration in vitro by disrupting a hif-1 αdependent, o2 sensing, molecular switch",2020, dongmei li,2,2,2,2
2186,springer nature,geology/environment,31 biological sciences; 3101 biochemistry and cell biology; 46 information and computing sciences,"additional file 2 of cyclosporine a directly affects human and mouse b cell migration in vitro by disrupting a hif-1 αdependent, o2 sensing, molecular switch",2020, jessica garigen,1,1,1,1
2187,springer nature,geology/environment,31 biological sciences; 3101 biochemistry and cell biology; 46 information and computing sciences,"additional file 2 of cyclosporine a directly affects human and mouse b cell migration in vitro by disrupting a hif-1 αdependent, o2 sensing, molecular switch",2020, jiong wang,1,1,1,1
2188,springer nature,geology/environment,31 biological sciences; 3101 biochemistry and cell biology; 46 information and computing sciences,"additional file 2 of cyclosporine a directly affects human and mouse b cell migration in vitro by disrupting a hif-1 αdependent, o2 sensing, molecular switch",2020, eric s mendelson,1,1,1,1
2189,springer nature,geology/environment,31 biological sciences; 3101 biochemistry and cell biology; 46 information and computing sciences,"additional file 2 of cyclosporine a directly affects human and mouse b cell migration in vitro by disrupting a hif-1 αdependent, o2 sensing, molecular switch",2020, valentina cipolla,1,1,1,1
2190,springer nature,geology/environment,31 biological sciences; 3101 biochemistry and cell biology; 46 information and computing sciences,"additional file 2 of cyclosporine a directly affects human and mouse b cell migration in vitro by disrupting a hif-1 αdependent, o2 sensing, molecular switch",2020, juilee thakar,7,6,5,4
2191,springer nature,geology/environment,31 biological sciences; 3101 biochemistry and cell biology; 46 information and computing sciences,"additional file 2 of cyclosporine a directly affects human and mouse b cell migration in vitro by disrupting a hif-1 αdependent, o2 sensing, molecular switch",2020, martin s zand,1,1,1,1
2192,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020,michael e. sparks,1,1,1,1
2193,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, raman bansal,1,1,1,1
2194,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, joshua b. benoit,5,4,4,3
2195,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, michael b. blackburn,1,1,1,1
2196,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, hsu chao,9,4,6,2
2197,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, mengyao chen,1,1,1,1
2198,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, sammy cheng,2,1,2,1
2199,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, christopher childers,7,3,4,1
2200,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, huyen dinh,9,4,6,2
2201,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, harsha vardhan doddapaneni,2,1,2,1
2202,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, shannon dugan,9,4,6,2
2203,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, elena n. elpidina,1,1,1,1
2204,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, david w. farrow,1,1,1,1
2205,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, markus friedrich,9,5,6,2
2206,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, richard a. gibbs,3,2,3,2
2207,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, brantley hall,1,1,1,1
2208,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, yi han,9,4,6,2
2209,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, richard w. hardy,1,1,1,1
2210,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, christopher j. holmes,3,2,3,1
2211,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, daniel s. t. hughes,3,2,3,2
2212,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, panagiotis ioannidis,7,4,5,1
2213,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, alys m. cheatle jarvela,1,1,1,1
2214,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, j. spencer johnston,2,2,2,2
2215,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, jeffery w. jones,2,1,2,1
2216,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, brent a. kronmiller,1,1,1,1
2217,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, faith kung,1,1,1,1
2218,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, sandra l. lee,3,2,3,2
2219,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, alexander g. martynov,1,1,1,1
2220,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, patrick masterson,1,1,1,1
2221,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, florian maumus,1,1,1,1
2222,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, monica munoz-torres,4,2,3,1
2223,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, shwetha c. murali,3,2,3,2
2224,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, terence d. murphy,2,2,2,1
2225,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, donna m. muzny,3,2,3,2
2226,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, david r. nelson,2,2,2,1
2227,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, brenda oppert,1,1,1,1
2228,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, kristen a. panfilio,2,1,2,1
2229,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, débora pires paula,1,1,1,1
2230,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, leslie pick,3,2,2,1
2231,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, monica f. poelchau,3,2,3,2
2232,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, jiaxin qu,9,4,6,2
2233,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, katie reding,1,1,1,1
2234,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, joshua h. rhoades,1,1,1,1
2235,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, adelaide rhodes,1,1,1,1
2236,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, stephen richards,9,4,6,2
2237,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, rose richter,3,2,2,1
2238,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, hugh m. robertson,5,4,4,3
2239,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, andrew j. rosendale,4,3,4,2
2240,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, zhijian jake tu,1,1,1,1
2241,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, arun s. velamuri,1,1,1,1
2242,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, robert m. waterhouse,3,2,3,1
2243,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, matthew t. weirauch,3,2,3,1
2244,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, jackson t. wells,1,1,1,1
2245,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, john h. werren,21,12,10,5
2246,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, kim c. worley,3,2,3,2
2247,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, evgeny m. zdobnov,4,3,3,2
2248,springer nature,geology/environment,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2 of brown marmorated stink bug, halyomorpha halys (stål), genome: putative underpinnings of polyphagy, insecticide resistance potential and biology of a top worldwide pest",2020, dawn e. gundersen-rindal,1,1,1,1
